CAS	Chemical	Tc	Pc	Vc	omega
74-83-9	Methyl bromide [R40B1]	467	8265790	0.000156	0.1642
622-97-9	p-Methyl-styrene	669	3303195	0.000402	0.283
611-14-3	1-Ethyl-2-methylbenzene	651.5	3140000	0.0004399	0.3197
620-14-4	1-Ethyl-3-methylbenzene	645.1	3248480	0.00049	0.3319
622-96-8	1-Ethyl-4-methylbenzene	638.7	3230000	0.0004399	0.3731
488-23-3	1,2,3,4-Tetramethylbenzene	700.5	3273811	0.0004357	0.3879
527-53-7	1,2,3,5-Tetramethyl benzene	679	2841153	0.0004362	0.4051
2870-04-4	2-Ethyl m-xylene	665.1	2929306	0.0004462	0.4359
1758-88-9	2-Ethyl p-xylene	662.6	2899922	0.0004608	0.4175
934-80-5	4-Ethyl o-xylene	662.6	2899922	0.0004521	0.4472
874-41-9	4-Ethyl m-xylene	662.6	2899922	0.000482	0.4331
934-74-7	5-Ethyl m-xylene	649.1	2800623	0.000458	0.4692
141-93-5	1,3-Diethylbenzene	657.1	2919173	0.0004677	0.3927
105-05-5	1,4-Diethylbenzene	657.88	2802649	0.0004782	0.409
527-84-4	o-Isopropyl-toluene	657.3	2904988	0.0004902	0.369
535-77-3	m-Isopropyl-toluene	651.4	2846219	0.0004902	0.3628
1074-17-5	o-Propyltoluene	662.1	2887763	0.0004898	0.399
3042-50-0	2-Propyl p-xylene	679.7	2654715	0.0005511	0.4295
4132-72-3	2,5-Dimethyl cumene	668.8	2629384	0.0005511	0.4297
573-98-8	1,2-Dimethyl naphthalene	790.24	3361964	0.0004692	0.3951
571-61-9	1,5-Dimethyl naphthalene	781.3	3219095	0.0004734	0.4261
575-43-9	1,6-Dimethyl naphthalene	778.2	3222135	0.0004726	0.412
575-37-1	1,7-Dimethyl naphthalene	778.2	3222135	0.0004726	0.4327
581-40-8	2,3-Dimethyl naphthalene	785.2	3217069	0.0005139	0.4137
581-42-0	2,6-Dimethyl naphthalene	777.2	3222135	0.0005077	0.3818
582-16-1	2,7-Dimethyl naphthalene	778.2	3222135	0.0005077	0.4069
939-27-5	2-Ethyl naphthalene	771.8	3171472	0.000516	0.4114
1120-62-3	3-Methyl cyclopentene	523.2	3828058	0.0003068	0.227
2207-03-6	trans-1,3-Dimethyl cyclohexane	598	2938425	0.00046	0.2118
638-04-0	cis-1,3-Dimethyl cyclohexane	591	2938425	0.00046	0.2828
624-29-3	cis-1,4-Dimethyl cyclohexane	598	2938425	0.00046	0.2338
1678-92-8	n-Propyl cyclohexane	639	2546297	0.0004813	0.2585
3877-19-8	2-Methyl tetralin	715.2	2968822	0.0005	0.39
1680-51-9	6-Methyl tetralin	733.2	3116757	0.0004831	0.3769
583-61-9	2,3-Dimethylpyridine	655.4	4109742	0.000359	0.3408
589-93-5	2,5-Dimethylpyridine	644.2	3874668	0.000359	0.3501
536-78-7	3-Ethylpyridine	661	4000108	0.000368	0.3367
536-75-4	4-Ethylpyridine	663	4099609	0.000368	0.3392
620-22-4	m-Toluonitrile	710	3749025	0.0004	0.4244
104-85-8	p-Toluonitrile	723	3546375	0.0004	0.3939
589-16-2	4-Ethyl aniline	715	3850350	0.000402	0.479
776-35-2	9,10-Dihydrophenanthrene	774	1314185	0.00066	0.5475
1125-80-0	3-Methyl-isoquinoline	808	5099687	0.0005	0.351
1198-37-4	2,4-Dimethyl quinoline	807	3899999	0.000552	0.3909
110-87-2	2,3-Dihydro-4H-pyran	561.7	4559625	0.000268	0.2392
123-07-9	4-Ethylphenol	716.4	4053000	0.0004	0.4892
90-00-6	2-Ethylphenol	703	4296180	0.000381	0.4793
92-69-3	p-Phenylphenol	825	3495713	0.0005	0.5695
287-27-4	Thiacyclobutane	603.15	6099765	0.000204	0.182
554-14-3	2-Methyl thiophene	606.2	4673109	0.0002794	0.2381
616-44-4	3-Methyl thiophene	610.8	4787606	0.0002748	0.243
1613-51-0	Tetrahydrothiopyran	654	4549493	0.000293	0.219
1795-09-1	2-Methyl-thiacyclopentane	631.2	4300233	0.000306	0.245
4740-00-5	3-Methyl-thiacyclopentane	641.2	4375214	0.000306	0.246
1679-07-8	Cyclopentane-thiol	629	4274902	0.00032	0.253
108-98-5	Benzenethiol	685	4600155	0.000317	0.284
632-16-6	2,3-Dimethyl thiophene	635.2	3879734	0.000332	0.2679
638-00-6	2,4-Dimethyl thiophene	631.2	4014496	0.000332	0.2955
638-02-8	2,5-Dimethyl thiophene	625.2	3890373	0.000332	0.2811
632-15-5	3,4-Dimethyl thiophene	640.2	3907700	0.000332	0.2674
5258-50-4	3-Methyl-thiacyclohexane	664	3874668	0.00035	0.249
5161-16-0	2-Methyl-thiacyclohexane	656	3825019	0.00035	0.245
5161-17-1	4-Methyl thiacyclohexane	665	3849944	0.00035	0.245
1569-69-3	Cyclohexanethiol	664.2	3849337	0.000401	0.252
577-55-9	1,2-Diisopropylbenzene	668.95	2445985	0.0005829	0.4743
99-62-7	1,3-Diisopropylbenzene	664.35	2348714	0.0005829	0.4858
2027-19-2	2-n-Propylnaphthalene	780.05	2849259	0.0005635	0.4943
1134-62-9	2-n-Butylnaphthalene	793.35	2541231	0.00061	0.4656
129-00-0	Pyrene	938.2	2604053	0.000626	0.4862
84-15-1	o-Terphenyl	857	2990000	0.0007311	0.5459
590-66-9	1,1-Dimethylcyclohexane	591	2938425	0.00045	0.238
6876-23-9	trans-1,2-Dimethylcyclohexane	596	2938425	0.00046	0.2296
92-85-3	Thianthrene	920	3420000	0.0005841	0.4602
6682-71-9	4,7-Dimethyl indan	722.3	4742000	0.000514	0.502
290-37-9	Pyrazine	622	5799843	0.00025	0.2392
96-54-8	N-Methyl pyrrole	596	4850428		0.311
109-08-0	2-Methyl pyrazine	634.4	5005455	0.0003187	0.2749
625-84-3	2,5-Dimethyl pyrrole	661	5099687	0.000323	0.446
529-19-1	o-Tolunitrile	709	3951675	0.0004	0.4092
120-72-9	Indole	790.7	4275915	0.000369	0.3464
87-62-7	2,6-Dimethylaniline	722	4199921	0.000402	0.4273
611-32-5	8-Methylquinoline	791	5000389	0.00047	0.3855
260-94-6	Acridine	905.15	3600077	0.0005431	0.4133
123-31-9	1,4-Dihydroxybenzene	820	6749967	0.000292	0.6598
620-17-7	3-Ethylphenol	718.8	4154325	0.000389	0.5105
87-66-1	1,2,3-Trihydroxybenzene	840	6251753	0.000307	0.6095
644-35-9	2-Propylphenol	705	3850350	0.000442	0.5982
132-64-9	Dibenzofuran	809.59	3201870	0.0004934	0.4336
1795-01-3	3-Ethylthiophene	629	4154325	0.000332	0.2815
7133-36-0	1-Cyclopentyl-1-thiaethane	652	3749025	0.000375	0.2885
100-68-5	1-Phenyl-1-thiaethane	706	4070225	0.000372	0.3351
698-71-5	3-Methyl-5-ethyl-phenol	725	3566640	0.000442	0.5613
697-82-5	2,3,5-Trimethylphenol	730	3850350	0.000442	0.5475
574-00-5	1,2-Dihydroxynaphthalene	718.59	3505845	0.00045	0.3
102-25-0	1,3,5-Triethylbenzene	679	2435000	0.0006166	0.5238
132-65-0	Dibenzothiophene	897	3860000	0.0005159	0.3863
208-96-8	Acenaphthylene	796.87	3221922	0.0004756	0.3609
594-56-9	2,3,3-Trimethyl-1-butene	533	2897895	0.0004	0.192
1814-88-6	1,1,1,2,2-Pentafluoropropane	380.12	3137002	0.0002732	0.3016
75-19-4	Cyclopropane	398	5540451	0.000162	0.1261
628-73-9	N-Hexanoic acid nitrile	622.05	2920186	0.000384	0.4743
105-58-8	Carbonic acid diethyl ester	576.33	3367400	0.00036	0.4561
96-49-1	Ethylene carbonate	794.82	6141840	0.000195	0.406
106-65-0	Dimethylsuccinate	665.73	3092783	0.00042	0.5386
2690-08-6	Di-n-octyl thioether	780	1800000	0.001112	0.8067
287-23-0	Cyclobutane	458	5045985	0.000218	0.2061
929-06-6	Diglycolamine	727	6220000	0.000325	0.6432
104-72-3	1-Phenyldecane	753	1779997	0.00085	0.6646
123-01-3	1-Phenyldodecane	779.1	1570538	0.00098	0.7278
1459-10-5	1-Phenyltetradecane	792	1419999	0.00111	0.8171
2131-18-2	1-Phenylpentadecane	800	1350004	0.00114	0.4254
103-49-1	Dibenzylamine	835	4053000	0.000624	0.485
543-49-7	2-Heptanol	608.3	3021005	0.0004418	0.5784
594-82-1	2,2,3,3-Tetramethylbutane	567.8	2867497	0.000461	0.2469
544-10-5	1-Chlorohexane	594.4	3052922	0.000416	0.3738
375-96-2	Perfluorononane	523.95	1560000	0.0008	0.5193
617-78-7	3-Ethylpentane	540.6	2889789	0.000416	0.31
1678-93-9	n-Butylcyclohexane	667	3151208	0.00053	0.3524
872-55-9	2-Ethylthiophene	626	4002338	0.000332	0.2653
109-79-5	n-Butylmercaptan	570.1	4002338	0.0003244	0.2734
513-44-0	iso-Butylmercaptan	557	3899999	0.000307	0.2485
513-53-1	sec-Butylmercaptan	551	3849995	0.000307	0.2479
107-00-6	1-Butyne	440	4600000	0.000208	0.2485
590-19-2	1,2-Butadiene	443.7	4498830	0.000219	0.255
74-99-7	Propyne	402.4	5623538	0.000164	0.218
76-12-0	1,1,2,2-Tetrachloro-1,2-difluoroethane [R112]	551	3445050	0.000358	0.273
646-04-8	trans-2-Pentene	475	3657832	0.0003	0.2409
422-05-9	2,2,3,3,3-Pentafluoropropanol	536.7	5230000	0.000287	0.4281
111-31-9	Hexylmercaptan	622	3020002	0.000426	0.3646
111-88-6	Octylmercaptan	667.3	2500002	0.000505	0.4466
7446-11-9	Sulfur trioxide	490.85	8207325	0.0001278	0.4121
540-67-0	Methyl ethyl ether	437.8	4397505	0.000221	0.2361
564-02-3	2,2,3-Trimethylpentane	563.5	2729696	0.000436	0.297
7782-41-4	Fluorine	144.31	5215198	0.0000662	0.0588
463-49-0	Propadiene	393.9	5250000	0.000166	0.0645
106-88-7	1,2-Epoxybutane	520	4660950	0.00025	0.3021
10049-04-4	Chlorine dioxide	465	8611612		0.277
355-28-2	2,2,3,3,4,4,5,5,5-Nonafluoro-1-pentanol	521.45	2330000	0.00045	0.6788
10028-15-6	Ozone	261.05	5532000	0.000089	0.1559
1436-34-6	1,2-Epoxyhexane	585	3303195	0.00036	0.318
7803-62-5	Silane	269	4855494		0.1599
112-31-2	Capraldehyde	674.2	2604053	0.000599	0.552
374-07-2	1,1-Dichloro tetrafluoro ethane [R114a]	418.65	3303000	0.0002937	0.2588
2473-01-0	1-Nonylchloride	663	2307170	0.000581	0.5018
547-63-7	2-Methylpropanoic acid methyl ester	540.8	3434918	0.000339	0.362
681-84-5	Tetramethoxysilane	562.8	2872600	0.000445	0.4425
106-31-0	Butyric anhydride	639	2689976	0.000501	0.6663
375-82-6	1,1-Dihydroperfluoroheptanol	554.65	2220000	0.000614	0.8227
75-38-7	1,1-Difluoroethene	303	4430000	0.000154	0.1506
2437-56-1	1-Tridecene	674	1700000	0.00074	0.598
13360-61-7	1-Pentadecene	704	1450001	0.00085	0.682
1459-09-2	Hexadecylbenzene	808	1289999	0.0012	0.9525
6742-54-7	1-Phenylundecane	764	1669998	0.00091	0.7082
123-02-4	1-Phenyltridecane	784	1499995	0.00104	0.8055
1067-20-5	3,3-Diethylpentane	610	2669995	0.000484	0.3267
107-98-2	1-Methoxy-2-propanol	579.8	4113000	0.0002799	0.448
763-69-9	Propionic acid,beta ethoxy,ethyl ester	618.7	2659781	0.0004583	0.5149
19600-63-6	1,2-Epoxy-7-octene	644.68	2732630	0.00045	0.3619
1759-58-6	trans-1,3-Dimethylcyclopentane	552	3300155	0.000378	0.248
594-20-7	2,2-Dichloropropane	536.8	4277942	0.00028	0.2206
97-62-1	Ethyl isobutyrate	553	3049883	0.000421	0.4247
2807-30-9	Ethylene glycol monopropyl ether	614.6	3649727	0.0003642	0.472
7783-61-1	Silicon tetrafluoride	259	3714600		0.3293
811-97-2	1,1,1,2-Tetrafluoroethane [R134a]	374.25	4064146	0.0002041	0.3259
1717-00-6	1,1-Dichloro-1-fluoroethane [R141b]	477.35	4339750	0.0002573	0.2016
771-61-9	2,3,4,5,6-Pentafluorophenol	609	4000000	0.0003497	0.4969
930-68-7	2-Cyclohexen-1-one	685	4530000	0.0003076	0.3076
90-41-5	2-Aminobiphenyl	838	3933000	0.0005923	0.4525
355-04-4	Perfluoro-2-methylpentane	455.3	1923000	0.00055	0.4464
112-15-2	Diethylene glycol monoethyl ether acetate	663	2730000	0.000546	0.7404
124-17-4	Diethylene glycol monobutyl ether acetate	693.9	2150000	0.000656	0.7837
4181-95-7	Tetracontane	882.83	414419	0.00225	1.684
7098-22-8	Tetratetracontane	894.37	347545	0.00247	1.855
111-40-0	Diethylenetriamine	709	4300000	0.0003611	0.4537
630-01-3	Hexacosane	817.06	806547	0.001475	1.117
2314-97-8	Iodotrifluoromethane	396.44	3953000	0.000226	0.1775
563-16-6	3,3-Dimethylhexane	562	2649649	0.000443	0.3176
75-66-1	2-Methyl-2-propanethiol	523	3799688	0.000314	0.2187
558-30-5	2,2-Dimethyloxirane	515	4691347	0.000243	0.2424
353-85-5	Trifluoroacetonitrile	311.11	3618316	0.0002022	0.2857
355-25-9	Perfluorobutane	385.84	2289945	0.000372	0.372
2162-98-3	1,10-Dichlorodecane	752.5	2072096	0.000681	0.5783
103-71-9	Phenyl isocyanate	675	4540000	0.0003455	0.2946
306-83-2	1,1-Dichloro-2,2,2-trifluoroethane [R123]	456.85	3669992	0.0002751	0.2825
19740-90-0	5,6-Epoxy-cis-cyclooctene	700.86	3396920	0.00039	0.3316
822-06-0	Hexamethylene diisocyanate	720.8	2860210	0.000513	0.6813
638-67-5	Tricosane	790	947389	0.00131	1.0247
58-08-2	3,7-Dihydro-1,3,7-trimethyl-1H-purine-2,6-dione (Cafeine)	850	4160405		1.1978
124-73-2	1,2-Dibromotetrafluoroethane	487	3450116	0.00033	0.2541
629-96-9	1-Eicosanol	808	1150039	0.00116	1.1571
677-21-4	3,3,3-Trifluoropropylene	376.2	3609000	0.000211	0.3064
609-26-7	2-Methyl-3-ethyl-pentane	567.1	2700311	0.000442	0.3273
773-14-8	Perfluorotetrahydrofuran	399.96	2694000	0.000318	0.2989
1685-82-1	4,6-Dimethylindan	761	4531000	0.00051	0.3249
1484-12-4	9-Methylcarbazole	890	3376000	0.0005717	0.4617
104-12-1	p-Chlorophenylisocyanate	676.9	4064290	0.00035	0.5575
102-36-3	3,4-Dichlorophenylisocyanate	756	3680300	0.000365	0.3435
541-05-9	Hexamethylcyclotrisiloxane	554.2	2229150	0.000707	0.5976
541-02-6	Decamethylcyclopentasiloxane	617.4	1035000	0.001216	0.6272
124-06-1	Tetradecanoic acid ethyl ester	743.41	1454800	0.00095	0.7994
628-97-7	Hexadecanoic acid ethyl ester	765.18	1315200	0.00106	0.8494
1067-08-9	3-Methyl-3-ethylpentane	576.5	2809742	0.000455	0.3009
1888-71-7	Hexachloropropene	680	2500000	0.0005224	0.488
4912-92-9	1,1-Dimethylindane	683	2994000	0.00051	0.3575
560-21-4	2,3,3-Trimethylpentane	573.5	2819875	0.000455	0.2867
7289-52-3	Decyl methyl ether	657.97	1934294	0.000666	0.5919
13838-16-9	Enflurane	475.03	2980000	0.000335	0.4285
26675-46-7	Isoflurane	467.8	3046000	0.00034	0.4003
16747-25-4	2,2,3-Trimethylhexane	535	2490000	0.000511	0.7799
422-56-0	1,1-Dichloro-2,2,3,3,3-pentafluoropropane R225ca	476.71	3060000	0.000365	0.3312
141-62-8	Decamethyltetrasiloxane	599.4	1264536	0.001157	0.682
141-63-9	Dodecamethylpentasiloxane	628.4	945362	0.00145	1.3232
107-52-8	Tetradecamethylhexasiloxane	653.2	803507	0.001808	0.8126
354-23-4	1,2-Dichloro-1,2,2-trifluoroethane [R123a]	461.7	3990000	0.0002753	0.303
123-62-6	Propionic acid, anhydride	625.54	2833860	0.00042	0.4876
108-65-6	Propylene glycol monomethyl ether acetate	597.6	3009353	0.0004319	0.4849
941-60-6	1,1,4,6-Tetramethylindan	733	3046000	0.00061	0.4195
1078-04-2	1,1,4,7-Tetramethylindan	758	3287000	0.00061	0.3785
273-53-0	Benzoxazole	695	4500000	0.0003455	0.3523
1120-48-5	Dioctylamine	734	1260000	0.001087	0.8189
541-01-5	Hexadecamethylheptasiloxane	671.8	676851	0.002133	0.8827
556-69-4	Octadecamethyloctasiloxane	688.9	624162	0.002466	0.9959
17928-28-8	Methyltris(trimethylsiloxy)silane	596.95	1215900	0.001125	0.6432
3555-47-3	Tetrakis(trimethylsiloxy)silane	622.6	830865	0.0014	0.6206
556-71-8	Octadecamethylcyclononasiloxane	705.8	650507	0.00225	0.9868
619-99-8	3-Ethylhexane	565.5	2610132	0.000455	0.3584
628-29-5	Methyl butyl sulfide	591.3	3880747	0.000371	0.3691
123-05-7	2-Ethylhexanaldehyde	607	2580748	0.000473	0.5195
2687-94-7	N-Octyl-2-pyrrolidone	748.2	2371005		0.8283
110-85-0	Piperazine	661	5800000	0.000267	0.3127
307-34-6	Perfluorooctane	502.25	1660000	0.000717	0.6091
2117-28-4	Methylenebis[trimethylsilane]	579.3	1990000		0.3463
53772-78-4	Difluorobis(trifluoromethoxy)methane	372.35	2333000	0.000363	0.4176
2356-61-8	1,1,2,2-Tetrafluoroethyl-trifluoromethylether	387.78	2640000	0.000337	0.4223
3822-68-2	Difluoromethoxytrifluoromethane	353.54	3326000	0.000192	0.3362
421-14-7	Trifluoromethoxymethane	378.02	3588000	0.000228	0.238
628-99-9	2-Nonanol	650.1	2530000	0.0005747	0.606
1522-22-1	1,1,1,5,5,5-Hexafluoro-2,4-pentanedione	485.1	2767200	0.0002892	0.5132
431-89-0	1,1,1,2,3,3,3-Heptafluoropropane [R227ea]	374.83	2911600	0.000274	0.3577
98-29-3	4-tert-Butylcatechol	775	3700000	0.0005651	0.7257
21297-65-4	2,2,4,4,5,5-Hexafluoro-1,3-dioxolane	368.07	2709000	0.00029	0.3075
425-82-1	Hexafluorooxetane	361.85	3030000	0.000272	0.3092
10102-44-0	Nitrogen dioxide	431	10132500	0.000082	0.8555
771-56-2	2,3,4,5,6-Pentafluorotoluene	566.52	3126000	0.0003824	0.417
95-96-5	3,6-Dimethyl-1,4-dioxane-2,5-dione	750	3400467	0.00039	0.613
111-41-1	N-(2-Aminoethyl)ethanolamine	739.2	4650000	0.000335	0.4634
507-55-1	1,3-Dichloro-1,1,2,2,3-pentafluoropropane R225cb	484.91	2980000	0.000366	0.3014
498-66-8	2-Norbornene	590	4860000	0.0003107	0.1892
307-45-9	Perfluorodecane	542.35	1450000	0.00088	0.5586
59426-77-6	Perfluoromethylpropylether	391.7	1866000	0.000403	0.3662
865-71-4	Perfluoro-3-methylpentane	450	1692000	0.000555	0.4733
434-64-0	Perfluorotoluene	534.47	2705000	0.0004249	0.4685
120-61-6	Dimethyl terephthalate	763.15	2749960	0.00053	0.6516
460-19-5	Cyanogen	400	5978175	0.0002	0.2791
2909-38-8	3-Chlorophenylisocyanate	712.22	4064290	0.000321	0.3808
10036-47-2	Tetrafluorohydrazine	309.35	3708000	0.00009	0.1477
13654-91-6	6-Chlorohexyl isocyanate	668.9	2901180	0.000521	0.7923
1186-53-4	2,2,3,4-Tetramethylpentane	592.6	2600000	0.000492	0.3103
16747-38-9	2,3,3,4-Tetramethylpentane	607.5	2719563	0.000487	0.31
7154-79-2	2,2,3,3-Tetramethylpentane	607.5	2739828	0.000494	0.3005
1070-87-7	2,2,4,4-Tetramethylpentane	574.6	2489555	0.000509	0.3099
781-17-9	4,5,9,10-Tetrahydropyrene	900	3000000	0.0006395	0.4551
1732-13-4	1,2,3,6,7,8-Hexahydropyrene	920	3610000	0.0006666	0.4666
286-62-4	1,2-Epoxycyclooctane	693.32	3452060	0.000405	0.3254
359-10-4	1-Chloro-2,2-difluoroethylene	400.55	4461000	0.0001974	0.2205
285-67-6	cis-1,2-Epoxycyclopentane	582.16	4508030	0.000273	0.2507
319-88-0	1,3,5-Trichloro-2,4,6-trifluorobenzene	684.8	3270000	0.0004473	0.5276
14049-36-6	Chlorotrifluorosilane	307.63	3465300		0.2978
18356-71-3	Dichlorodifluorosilane	368.92	3499800		0.2175
14965-52-7	Fluorotrichlorosilane	438.41	3579800		0.2162
1719-53-5	Dichlorodiethylsilane	595.75	3060000	0.0004554	0.3169
6303-88-4	2,3,4,9-Tetrahydro-9-methyl-1H-carbazole	854	2709000	0.0005996	0.5115
3320-83-0	2-Chlorophenylisocyanate	680.9	4064290	0.000334	0.5596
75240-06-1	trans-Perfluorobicyclo[4.3.0]nonane	526	1680000	0.000646	0.5311
75262-87-2	cis-Perfluorobicyclo[4.3.0]nonane	530	1710000	0.000638	0.4647
3424-57-5	cis-1,3,5-Trimethyl-1,3,5-triphenylcyclotrisiloxane	824	1340000		0.7767
262-20-4	Phenoxathiin	863	3105000	0.0005607	0.4539
1012-72-2	1,4-Bis(1,1-dimethylethyl)benzene	708	2300000	0.0007233	0.5019
4538-37-8	1,4-Butanediisocyanate	706.7	3600160	0.000401	0.5983
10124-86-4	1,8-Octanediisocyanate	745.1	2371020	0.000711	0.786
79-53-8	1,1,1,3,3-Pentafluoro-3-chloroacetone	410.65	2878000		0.3462
702-79-4	1,3-Dimethyl adamantane	708	3000000	0.000575	0.2958
56-33-7	1,1,3,3-Tetramethyl-1,3-diphenyldisiloxane	750	1730000		0.7044
3698-94-0	Ethyl octyl sulfide	700	2400000	0.0006974	0.5298
28304-66-7	cis-5-Ethylidene-2-norbornene	629	3400000	0.000294	0.3118
6654-36-0	Methyl-5-formyl valerate	670	3100000	0.000451	0.6916
496-14-0	2,5-Dihydrobenzo-3,4-furan	700	4285000	0.0003605	0.3664
375-03-1	1,1,1,2,2,3,3-Heptafluoro-3-methoxypropane	437.7	2481000	0.0003775	0.424
679-86-7	1,1,2,2,3-Pentafluoropropane [R245ca]	447.57	3925026	0.000256	0.3577
662-35-1	1,1,1,2,2,3,3,4-Octafluorobutane	431.95	2725000	0.0003435	0.4014
1805-22-7	Perfluoromethylcyclopentane	451.43	2171700		0.4206
7133-46-2	Dicyclohexyl sulfide	770	2370000	0.0006943	0.515
122-60-1	2-Phenoxymethyloxirane	720	2950000	0.000324	0.5939
996-70-3	Tetrakis(dimethylamino)ethylene	680	2400000	0.000641	0.3861
665-16-7	Perfluoroethylmethylether	356.85	2315000	0.0003188	0.3449
2163-42-0	2-Methyl-1,3-propanediol	708	5350000	0.000282	0.5869
48076-62-6	Perfluoroheptyl acrylate	593.15	1700000		0.6312
308-26-9	1,1-Dihydroperfluoroamyl acrylate	553.15	1160000		0.4311
376-84-1	1,1,5-Trihydroperfluoroamyl acrylate	608.15	2200000		0.5418
7383-71-3	1,1,3-Trihydroperfluoropropyl acrylate	582.15	3600000		0.5475
355-93-1	1,1,5-Trihydroperfluoroamyl methacrylate	623.15	2000000		0.4964
2825-83-4	exo-Tetrahydrodicyclopentadiene	698	3733000	0.000285	0.2841
529484-85-3	2,2,3,3-Tetrafluoropropyl-1,1,1,2,3,3-hexafluoropropylether	507.65	1840000	0.0005282	0.5935
66670-22-2	Perfluoro-tert.-butylmethylether	462.72	2366000	0.0004481	0.4054
34118-18-8	2,2,3,3,5,5,6-Heptafluoro-1,4-dioxane	452.88	2866000	0.0003585	0.3855
269716-57-6	4,4,5,5-Tetrafluoro-2-trifluoromethyl-1,3-dioxolane	435.06	2645000	0.0003762	0.4229
374-41-4	3,3,4,4,4-Pentafluoro-2-butanone	453.03	2912000	0.0003335	0.4148
80553-01-1	3,4,4,4-Tetrafluoro-3-trifluoromethyl-2-butanone	467.24	2522000	0.0004094	0.4195
