CASRN	Chemical	T	Permittivity	A	B	C	D	Tmin	Tmax
4549-74-0	3-Methyl-1,3-pentadiene	298.2	2.426						
455-32-3	Benzoyl fluoride	293.2	22.7						
460-00-4	1-Bromo-4-fluorobenzene	298.2	2.6						
460-35-5	3-Chloro-1,1,1-trifluoropropane	295.2	7.32	22.361	-0.06884	0.000060594		275	313
462-06-6	Fluorobenzene	293.2	5.465						
462-18-0	7-Tridecanone	303.2	7.6						
462-95-3	Diethoxymethane	293.2	2.527	2.5294	0.000073988	-0.00000028331		227	293
463-04-7	Pentyl nitrite	298.2	7.21						
463-11-6	1-Fluorooctane	293.2	3.89						
463-40-1	cis,cis,cis-9,12,15-Octadecatrienoic acid	293.2	2.825	3.3867	-0.0019181			274	368
463-49-0	Allene	269	2.025	2.6049	-0.00044147	-0.000006342		156	269
463-58-1	Carbon oxysulfide	185	4.47	8.4702	-0.021488			143	185
463-82-1	Neopentane	296	1.769	10.949	-0.063057	0.00010835		251	296
4630-82-4	Methyl cyclohexanecarboxylate	293.2	4.87						
464-06-2	2,2,3-Trimethylbutane	293.2	1.93						
464-10-8	Tribromonitromethane	298.2	9.034	16.079	-0.02363			298	328
4645-15-2	Dicyclohexyl ether	293.2	3.45	9.5324	-0.03174	0.0000375		293	333
470-82-6	Eucalyptol	298.2	4.57						
473-55-2	Pinane	298.2	2.1456						
4730-22-7	6-Methyl-2-heptanol	290.1	6.41	77.52	-0.41724	0.00059448		239	329
4806-61-5	Ethylcyclobutane	293.2	1.965						
488-23-3	1,2,3,4-Tetramethylbenzene	296	2.538	3.3822	-0.003363	0.0000017475		273	412
491-35-0	4-Methylquinoline	293.2	9.31	17.788	-0.03258	0.0000125		293	333
493-01-6	cis-Decahydronaphthalene	293.2	2.219	2.541	-0.001142	0.00000015092		293	373
493-02-7	trans-Decahydronaphthalene	293.2	2.184	2.6615	-0.0021241	0.0000016864		293	373
50-70-4	D-Glucitol	353.2	35.5						
50-78-2	2-(Acetyloxy)benzoic acid	333.2	6.55	6.9994	-0.0014553			333	416
502-42-1	Cycloheptanone	298.2	13.16	175.11	-1.1221	0.0019417		258	298
502-56-7	5-Nonanone	293.2	10.6						
503-66-2	3-Hydroxypropanoic acid	296.2	30						
504-57-4	10-Nonadecanone	353.2	5.37						
504-63-2	1,3-Propanediol	293.2	35.1	113.65	-0.3668	0.00033766		288	328
507-09-5	Thioacetic acid	298.2	14.3						
507-16-4	Thionyl bromide	293.2	9.06						
507-19-7	2-Bromo-2-methylpropane	293	10.98	35.085	-0.14075	0.0001996		258	293
507-20-0	2-Chloro-2-methylpropane	293.2	9.663	35.077	-0.12867	0.00014304		273	323
507-36-8	2-Bromo-2-methylbutane	298.2	9.21						
509-14-8	Tetranitromethane	293.2	2.317						
51-79-6	Ethyl carbamate	328.2	14.14	32.431	-0.065097	0.000028571		328	368
512-56-1	Trimethyl phosphate	293.2	20.6						
513-08-6	Tripropyl phosphate	293.2	10.93	33.166	-0.10514	0.0001		293	373
513-35-9	2-Methyl-2-butene	296	1.979	2.6064	-0.0019578	-0.00000053908		225	296
513-36-0	1-Chloro-2-methylpropane	293.2	7.027	14.945	-0.033747	0.000023036		273	323
513-44-0	2-Methyl-1-propanethiol	298.2	4.961						
513-81-5	2,3-Dimethyl-1,3-butadiene	293.2	2.102	2.6258	-0.001799	0.00000012035		223	323
513-88-2	1,1-Dichloroacetone	293.2	14.6						
515-84-4	Ethyl trichloroacetate	293.2	8.428						
519-73-3	Triphenylmethane	367.2	2.46	4.0201	-0.0066507	0.0000065329		367	448
5194-51-4	trans,trans-2,4-Hexadiene	297	2.123	2.6774	-0.0016977	-0.00000055637		232	353
5205-34-5	5-Decanol	298.2	3.24	-2.5832	0.031456	-0.00004		288	308
52152-71-3	2-Iodobutane, ()-	293.2	7.873	10.883	-0.001468	-0.00003		293	323
52390-72-4	2-Heptanol, ()-	293.7	9.72	100.5	-0.49793	0.00064504		207	365
526-73-8	1,2,3-Trimethylbenzene	293.2	2.656	7.6006	-0.029118	0.000041786		273	323
526-75-0	2,3-Xylenol	343.2	4.81	14.399	-0.041438	0.000039244		343	433
52708-03-9	4-Nonanol	298.2	3.69	2.7954	0.003	-0.000000000000052375		288	308
530-91-6	1,2,3,4-Tetrahydro-2-naphthol	293.2	11.7	98.978	-0.48267	0.00063008		293	363
53178-20-4	2-Chlorobutane	293.2	8.564	30.376	-0.11377	0.00013429		273	323
5328-01-8	1-Ethoxynaphthalene	292.2	3.3						
533-68-6	Ethyl 2-bromobutanoate	303.2	8.57	49.005	-0.23193	0.000325		303	333
533-98-2	1,2-Dibromobutane	293.2	4.74	111.99	-0.63334	0.0009125		293	333
5337-36-0	Trihexyl borate	293.2	2.22						
534-22-5	2-Methylfuran	293.2	2.76						
535-11-5	Ethyl 2-bromopropanoate	293.2	9.4						
535-13-7	Ethyl 2-chloropropanoate	303.2	11.95	25.965	-0.04625			303	343
536-74-3	Phenylacetylene	298.2	2.98						
536-75-4	4-Ethylpyridine	293.2	10.98	-7.3831	0.14326	-0.000275		293	333
536-90-3	3-Methoxyaniline	298.2	8.76	28.179	-0.09784	0.00011027		289	393
537-39-3	Glycerol trielaidate	313.2	2.98						
538-23-8	Glycerol trioctanoate	293.2	3.931						
538-24-9	Glycerol trilaurate	313.2	3.287						
538-93-2	Isobutylbenzene	293.2	2.318	2.8055	-0.00092614	-0.0000025		273	323
539-30-0	Benzyl ethyl ether	298.2	3.9						
539-82-2	Ethyl pentanoate	291.2	4.71						
54-11-5	L-Nicotine	293.2	8.937	21.347	-0.057177	0.000050655		293	363
540-07-8	Pentyl hexanoate	288.2	4.22	8.3503	-0.018449	0.000014286		288	323
540-08-9	9-Heptadecanone	328.2	5.43	44.176	-0.21183	0.00028571		328	363
540-18-1	Pentyl butanoate	301.2	4.08	5.9029	-0.0049905	-0.0000034292		301	343
540-54-5	1-Chloropropane	293.2	8.588	21.214	-0.04313			273	313
540-63-6	1,2-Ethanedithiol	293.2	7.26	11.228	-0.0135			293	333
540-80-7	tert-Butyl nitrite	298.2	11.47						
540-84-1	2,2,4-Trimethylpentane	293.2	1.943	2.3677	-0.0014768	0.000000094261		173	373
540-88-5	tert-Butyl acetate	293.2	5.672	55.435	-0.30494	0.00046107		273	323
5408-86-6	2,3-Dibromobutane	298.2	6.245	23.849	-0.0963	0.000125		293	333
541-02-6	Decamethylcyclopentasiloxane	293.2	2.5						
541-05-9	Hexamethylcyclotrisiloxane	343.2	2.139						
541-28-6	1-Iodo-3-methylbutane	292.2	5.6						
541-41-3	Ethyl chloroformate	308.7	9.736	15.356	-0.01825			309	349
541-42-4	Isopropyl nitrite	260	13.92	74.578	-0.38283	0.00057071		150	300
541-73-1	m-Dichlorobenzene	293.2	5.02	7.7565	-0.0093333	-2.688E-015		293	353
5416-93-3	4-Methoxyphenyl isocyanate	333.2	10.26	20.78	-0.031571			333	403
542-18-7	Chlorocyclohexane	303.2	7.9505						
542-54-1	4-Methylpentanenitrile	295.2	17.5						
542-55-2	Isobutyl formate	293.2	6.41						
542-59-6	1,2-Ethanediol, monoacetate	303.2	12.95						
542-69-8	1-Iodobutane	293.2	6.27	16.493	-0.050262	0.000052485		293	323
542-85-8	Ethyl isothiocyanate	293.2	19.6						
542-88-1	Bis(chloromethyl) ether	293.2	3.51						
542-91-6	Diethylsilane	293.2	2.544						
543-27-1	Isobutyl chlorocarbonate	293.2	9.1						
543-59-9	1-Chloropentane	293.2	6.654	18.626	-0.054719	0.000047143		273	323
543-67-9	Propyl nitrite	250	12.35	70.552	-0.40362	0.00066687		110	310
544-01-4	Diisopentyl ether	293.2	2.817	4.469	-0.006371	0.0000025		293	323
544-10-5	1-Chlorohexane	293.2	6.104	15.994	-0.043647	0.000033393		273	323
544-40-1	Dibutyl sulfide	298.2	4.29						
544-76-3	Hexadecane	293.2	2.046	2.3861	-0.00116	2.5555E-016		293	363
544-77-4	1-Iodohexadecane	293.2	3.57	7.9531	-0.022859	0.000026955		293	323
545-06-2	Trichloroacetonitrile	292.2	7.85						
5454-79-5	cis-3-Methylcyclohexanol, ()-	293.2	13.79	65.896	-0.21954	0.00014107		273	323
54630-50-1	5-Methyl-2-heptanol	278.5	7.5	68.568	-0.40706	0.00067433		230	279
55-63-0	Trinitroglycerol	293.2	19.25						
550-97-0	1-Naphthyl 2-hydroxybenzoate	293	6.3	11.229	-0.018857	0.0000070332		293	353
554-12-1	Methyl propanoate	293.2	6.2	12.798	-0.02254			293	333
554-84-7	3-Nitrophenol	373.2	35.45	189.67	-0.66144	0.00066532		373	458
555-03-3	3-Nitroanisole	318.2	25.7	65.402	-0.1646	0.0001256		318	443
555-43-1	Glycerol tristearate	353.2	2.74						
555-44-2	Glycerol tripalmitate	328.2	2.901	-2.9131	0.032206	-0.000044154		328	393
556-56-9	3-Iodopropene	292.2	6.1						
556-67-2	Octamethylcyclotetrasiloxane	296.2	2.39	3.6286	-0.0056885	0.0000050874		296	333
557-98-2	2-Chloropropene	299.25	8.92						
558-17-8	2-Iodo-2-methylpropane	283.2	6.65	7.678	0.00699	-0.0000375		283	323
5582-82-1	3-Methyl-3-heptanol	293.2	3.013	-3.844	0.042327	-0.00006125		343	403
56-23-5	Tetrachloromethane	293.2	2.2379	2.828	-0.0020339	0.000000071795		283	333
56-81-5	Glycerol	293.2	46.53	77.503	-0.037984	-0.00023107		288	343
560-21-4	2,3,3-Trimethylpentane	293.2	1.978						
56053-84-0	Butyl thiophene-2-carboxylate	293.2	6.4						
562-49-2	3,3-Dimethylpentane	291.3	1.9419	2.4007	-0.0016802	0.00000036069		291	322
56298-90-9	4-Methyl-2-heptanol	290	3.59	39.715	-0.23115	0.00036771		240	333
563-16-6	3,3-Dimethylhexane	293.2	1.9645						
563-46-2	2-Methyl-1-butene	293.2	2.18						
563-80-4	3-Methyl-2-butanone	293.2	10.37	30.695	-0.10962	0.0001381		293	328
564-02-3	2,2,3-Trimethylpentane	293.2	1.96						
565-59-3	2,3-Dimethylpentane	293.2	1.929	2.5637	-0.0026328	0.0000016071		273	323
565-75-3	2,3,4-Trimethylpentane	293.2	1.9738						
5655-61-8	l-Bornyl acetate	303.2	4.46	6.0791	0.00982	-0.00005		303	323
57-10-3	Hexadecanoic acid	338.2	2.417						
57-11-4	Stearic acid	293.2	2.314	2.7159	-0.00133			293	373
57-55-6	1,2-Propanediol	303.2	27.5	245.46	-1.5738	0.0038068	-0.0000032544	193	403
5714-22-7	Sulfur decafluoride	293.2	2.0202						
57392-55-9	Isopentyl trichloroacetate	293.2	7.287						
575-36-0	N-1-Naphthalenylacetamide	433.2	24.3	84.739	-0.12391	-0.000035714		433	533
575-43-9	1,6-Dimethylnaphthalene	293.2	2.725						
576-26-1	2,6-Xylenol	313.2	4.9	12.284	-0.032996	0.000029867		313	453
578-57-4	2-Bromoanisole	303.2	8.96	12.023	-0.0059116	-0.000013787		303	358
578-58-5	2-Methylanisole	293.2	3.502	5.0825	-0.0062297	0.0000028571		293	333
5787-31-5	2-Bromobutane, ()-	298.2	8.64	18.461	-0.032933			274	328
580-02-9	Methyl 2-(acetyloxy)benzoate	328.9	5.31	19.579	-0.06997	0.000080889		329	371
582-24-1	(Hydroxyacetyl)benzene	298.2	21.33	42.286	-0.069215	-0.0000035714		298	368
583-19-7	1-Bromo-2-ethoxybenzene	313.2	7.04	23.146	-0.075753	0.000077778		313	358
583-48-2	3,4-Dimethylhexane	292.1	1.9814	2.6849	-0.0033712	0.0000032949		292	324
583-53-9	o-Dibromobenzene	293.2	7.86	-0.0081849	0.062671	-0.00012222		293	353
584-02-1	3-Pentanol	298.2	13.35	128.38	-0.6098	0.00075		288	318
584-84-9	Toluene-2,4-diisocyanate	293.2	8.433	22.174	-0.066982	0.000068571		293	353
585-79-5	1-Bromo-3-nitrobenzene	328.2	20.2	81.413	-0.27645	0.00027367		328	413
586-62-9	Terpinolene	298.2	2.2918						
589-16-2	4-Ethylaniline	298.2	4.84						
589-55-9	4-Heptanol	296.2	6.18	289.95	-1.8499	0.0030109		270	301
589-92-4	4-Methylcyclohexanone	293.2	12.35						
589-98-0	3-Octanol	293.2	5.55	125.05	-0.70646	0.0010245		223	383
590-01-2	Butyl propanoate	293.2	4.838						
590-11-4	cis-1,2-Dibromoethene	298.2	7.08						
590-12-5	trans-1,2-Dibromoethene	298.2	2.88						
590-18-1	cis-2-Butene	296	1.96	2.8802	-0.0031064			197	296
590-26-1	cis-1,2-Diiodoethene	345.65	4.46						
590-35-2	2,2-Dimethylpentane	293.2	1.915	2.3414	-0.0014362	-0.000000051322		153	353
590-73-8	2,2-Dimethylhexane	293.2	1.9498						
591-17-3	3-Bromotoluene	293.2	5.566	11.522	-0.024946	0.000015714		273	323
591-19-5	3-Bromoaniline	293.2	13						
591-50-4	Iodobenzene	293.2	4.59	8.9442	-0.020008	0.000017641		243	323
591-76-4	2-Methylhexane	293.2	1.9221	2.4759	-0.0022535	0.00000125		293	323
591-78-6	2-Hexanone	293.2	14.56	70.378	-0.29385	0.00035289		243	293
591-93-5	1,4-Pentadiene	294	2.054	2.9994	-0.0034578	0.000000853		178	294
592-13-2	2,5-Dimethylhexane	293.95	1.9619	2.5821	-0.0026804	0.0000019404		294	324
592-27-8	2-Methylheptane	293.2	1.9519						
592-41-6	1-Hexene	294	2.077	3.1476	-0.0050003	0.0000046673		149	294
592-42-7	1,5-Hexadiene	294	2.125	3.0014	-0.0028668	-0.00000031026		151	294
592-50-7	1-Fluoropentane	293.2	3.931						
592-57-4	1,3-Cyclohexadiene	184.2	2.68						
592-76-7	1-Heptene	293.2	2.092	2.1755	0.0013896	-0.0000057049		273	323
592-84-7	Butyl formate	303.2	6.1	21.532	-0.084106	0.00010952		288	323
593-53-3	Fluoromethane	131	51	113.38	-0.63979	0.00096983		150	299
594-15-0	Tribromochloromethane	333.2	2.601						
594-18-3	Dibromodichloromethane	298.2	2.542	3.233	-0.0023162			298	333
594-20-7	2,2-Dichloropropane	293.2	11.37	32.421	-0.072188			245	293
594-34-3	1,2-Dibromo-2-methylpropane	293.2	4.1						
594-36-5	2-Chloro-2-methylbutane	222.75	12.31	55.104	-0.29866	0.0004784		201	223
594-37-6	1,2-Dichloro-2-methylpropane	296	7.15	39.429	-0.20028	0.00030917		165	296
594-38-7	2-Iodo-2-methylbutane	293.2	8.192						
594-71-8	2-Chloro-2-nitropropane	250.4	31.9						
594-72-9	1,1-Dichloro-1-nitroethane	303.2	16.3	37.576	-0.0704			303	333
595-49-3	2,2-Dinitropropane	325.1	42.4						
597-49-9	3-Ethyl-3-pentanol	293.2	3.158						
597-50-2	Triethylphosphine oxide	323.2	35.5						
597-51-3	Triethylphosphine sulfide	371.2	39						
597-64-8	Tetraethylstannane	293.2	2.241						
597-96-6	3-Methyl-3-hexanol	298.2	3.248						
598-01-6	4-Methyl-4-heptanol	296.2	2.902						
598-03-8	Dipropyl sulfone	303.2	32.62	70.195	-0.15008	0.000086506		303	398
598-04-9	Dibutyl sulfone	323.2	25.72	66.248	-0.16417	0.00012001		323	398
598-55-0	Methyl carbamate	328.2	18.48	36.773	-0.0557			328	368
598-58-3	Methyl nitrate	293.2	23.9						
5989-27-5	d-Limonene	298.2	2.3746						
5989-54-8	l-Limonene	298.2	2.3738						
599-70-2	Ethyl phenyl sulfone	348.2	39						
60-01-5	Tributyrin	282.8	5.72	13.152	-0.036684	0.000036795		199	283
60-12-8	Benzeneethanol	293.2	12.31	121.7	-0.63124	0.00087776		278	333
60-29-7	Diethyl ether	293.2	4.2666	7.9725	-0.012519			283	301
60-33-3	cis,cis-9,12-Octadecadienoic acid	293.2	2.754	3.2073	-0.0015477			275	368
60-35-5	Acetamide	363.7	67.6	-200.55	1.5515	-0.0022392		364	448
600-00-0	Ethyl 2-bromo-2-methylpropanoate	303.2	8.55	77.044	-0.40784	0.0006		303	333
600-15-7	2-Hydroxybutanoic acid, ()-	296.2	37.7						
60251-57-2	2-Bromooctane, ()-	293.2	5.44						
6032-29-7	2-Pentanol	298.2	13.71	164.37	-0.86506	0.0011955		273	323
606-27-9	Methyl 2-nitrobenzoate	300.1	27.76						
606-45-1	Methyl 2-methoxybenzoate	294.2	7.7						
609-72-3	2-Methyl-N,N-dimethylaniline	293.2	3.4						
6108-61-8	cis,cis-2,4-Hexadiene	297	2.163	2.7284	-0.0017178	-0.00000062926		234	351
611-14-3	2-Ethyltoluene	293.2	2.595						
611-32-5	8-Methylquinoline	293.2	6.58	19.356	-0.0619	0.0000625		293	333
611-74-5	N,N-Dimethylbenzamide	318.2	20.77	76.725	-0.26908	0.00029409		318	443
612-22-6	1-Ethyl-2-nitrobenzene	273.4	21.9						
6120-13-4	2-Chlorobornane	368.2	5.21						
614-17-5	N-Ethylbenzamide	352.7	42.6	-201.09	1.7866	-0.0031065		353	389
615-38-3	cis-2-Methylcyclohexanol	293.2	9.375	173.15	-0.98794	0.0014634		273	323
615-42-9	o-Diiodobenzene	323.2	5.41	31.15	-0.14428	0.0002		323	353
615-81-6	Diisopropyl oxalate	293.2	6.403	10.709	-0.016328	0.0000056		293	368
6156-25-8	Tetrakis(methylthio)methane	343.2	2.818						
616-21-7	1,2-Dichlorobutane	293.2	7.74	31.925	-0.13232	0.00017007		293	356
616-38-6	Dimethyl carbonate	298.2	3.087						
616-45-5	2-Pyrrolidone	298.2	28.18	110.54	-0.47945	0.00068182		298	338
617-78-7	3-Ethylpentane	293.2	1.942	2.3771	-0.001514	0.00000010093		163	363
617-84-5	N,N-Diethylformamide	293.2	29.6						
617-86-7	Triethylsilane	293.2	2.323						
617-94-7	,-Dimethylbenzenemethanol	303.2	5.61	5.7072	0.0086568	-0.00002958		303	373
618-32-6	Benzoyl bromide	293.2	21.33	84.231	-0.31089	0.00032857		283	313
618-40-6	1-Methyl-1-phenylhydrazine	292.2	7.3						
619-99-8	3-Ethylhexane	293.2	1.9617						
62-53-3	Aniline	293.2	7.06	8.9534	0.003899	-0.00003631		293	413
620-14-4	3-Ethyltoluene	293.2	2.365						
620-16-6	1-Chloro-3-ethylbenzene	298.2	5.18						
621-70-5	Glycerol trihexanoate	293.2	4.476						
622-38-8	(Ethylthio)benzene	298.2	4.95						
622-45-7	Cyclohexyl acetate	293.2	5.08						
622-80-0	N-Propylaniline	293.2	5.48						
622-96-8	4-Ethyltoluene	293.2	2.265						
622-98-0	1-Chloro-4-ethylbenzene	298.2	5.16						
6222-35-1	Cyclohexyl propanoate	293.2	4.82						
623-12-1	4-Chloroanisole	293.2	7.84	6.4019	0.03056	-0.0000875		293	333
623-40-5	2-Pentanone oxime	293.2	3.3						
623-42-7	Methyl butanoate	301.2	5.48	38.604	-0.19171	0.00027128		301	343
623-43-8	Methyl trans-2-butenoate	293.2	6.6645						
623-53-0	Ethyl methyl carbonate	293.2	2.985						
623-71-2	Ethyl 3-chloropropanoate	303.2	10.19	21.951	-0.03875			303	343
623-81-4	Diethyl sulfite	293.2	15.6						
623-91-6	Diethyl fumarate	296.2	6.56						
623-93-8	5-Nonanol	298.2	3.54	-2.5463	0.03532	-0.00005		288	308
624-03-3	1,2-Ethanediol, dihexadecanoate	348.2	2.89						
624-17-9	Diethyl nonanedioate	303.2	5.133						
624-24-8	Methyl pentanoate	293.2	4.992						
624-31-7	4-Iodotoluene	308.2	4.4						
624-38-4	p-Diiodobenzene	393.2	2.88						
624-54-4	Pentyl propanoate	293.2	4.552						
624-83-9	Methyl isocyanate	288.7	21.75						
624-91-9	Methyl nitrite	200	20.77	110.71	-0.73428	0.0014054		110	260
624-92-0	Dimethyl disulfide	298.2	9.6	19.109	-0.032			298	323
625-23-0	2-Methyl-2-hexanol	297	3.257						
625-25-2	2-Methyl-2-heptanol	292.2	3.43						
625-50-3	N-Ethylacetamide	293.2	135	744.94	-3.14	0.0036131		213	353
625-58-1	Ethyl nitrate	293.2	19.7						
625-69-4	2,4-Pentanediol	294.2	24.69	119.14	-0.52569	0.00069607		224	294
625-71-8	3-Hydroxybutanoic acid, ()-	296.2	31.5						
625-96-7	3-Methylcyclohexanone, ()-	293.2	12.4						
625-98-9	1-Chloro-3-fluorobenzene	298.2	4.96						
626-00-6	m-Diiodobenzene	323.2	4.11						
626-87-9	1,4-Dibromopentane	293.2	9.05	26.443	-0.08864	0.0001		293	333
626-95-9	1,4-Pentanediol	295.7	26.74	135.68	-0.59198	0.00075398		193	318
627-12-3	Propyl carbamate	338.2	12.06	24.356	-0.0364			338	378
627-30-5	3-Chloro-1-propanol	215.2	36	124.36	-0.60841	0.0009206		145	215
627-45-2	N-Ethylformamide	298.2	102.7	647.64	-2.8499	0.0034286		298	338
627-83-8	1,2-Ethanediol, distearate	353.2	2.79						
627-84-9	1,2-Ethanediol, ditetradecanoate	343.2	2.98						
627-90-7	Ethyl undecanoate	293.2	3.55						
627-91-8	Methyl hexanedioate	293.2	6.69	11.962	-0.023973	0.000020608		293	433
627-93-0	Dimethyl 1,6-hexanedioate	293.2	6.84	11.739	-0.017281	0.0000011447		293	433
628-04-6	Ethyl isopentyl ether	293.2	3.955	6.6541	-0.005545	-0.0000125		293	323
628-17-1	1-Iodopentane	293.2	5.78	15.753	-0.050543	0.000056401		293	323
628-41-1	1,4-Cyclohexadiene	296	2.211	2.7459	-0.0016975	-0.00000036461		232	356
628-61-5	2-Chlorooctane	293.2	5.42						
628-63-7	Pentyl acetate	293.2	4.79	12.091	-0.036536	0.000039732		253	353
628-73-9	Hexanenitrile	298.2	17.26						
628-76-2	1,5-Dichloropentane	298.2	9.92						
628-92-2	Cycloheptene	295	2.265	3.2309	-0.0042373	0.0000032572		227	363
628-96-6	1,2-Ethanediol, dinitrate	293.2	28.26						
628-97-7	Ethyl palmitate	303.2	3.07	5.7938	-0.012294	0.000010919		303	455
629-03-8	1,6-Dibromohexane	298.2	8.52	-5.5185	0.11746	-0.00023658		274	328
629-04-9	1-Bromoheptane	303.2	5.255	15.289	-0.050621	0.000057753		203	343
629-06-1	1-Chloroheptane	293.2	5.521	14.279	-0.039431	0.000032321		273	323
629-14-1	1,2-Diethoxyethane	293.2	3.9	9.9099	-0.033403	0.000044048		223	303
629-27-6	1-Iodooctane	293.2	4.67	12.452	-0.041229	0.000050108		233	313
629-37-8	1-Nitrooctane	293.2	11.46						
629-50-5	Tridecane	293.2	2.0213	2.3731	-0.0012	-2.1841E-016		283	363
629-59-4	Tetradecane	293.2	2.0343	2.3832	-0.00119	-5.1229E-017		283	363
629-62-9	Pentadecane	293.2	2.0391	2.3792	-0.00116	-7.1069E-017		283	363
629-70-9	Hexadecyl acetate	308.2	3.19	4.731	-0.005	4.1338E-015		308	348
629-72-1	1-Bromopentadecane	293.35	3.88						
629-76-5	1-Pentadecanol	333.2	3.7						
629-78-7	Heptadecane	293.2	2.0578	2.3627	-0.00104	-0.00000000000010397		293	308
629-92-5	Nonadecane	293.2	2.0706						
629-96-9	1-Eicosanol	338.2	3.13	2.17	0.012497	-0.000028571		338	363
629-97-0	Docosane	293.2	2.084						
630-18-2	2,2-Dimethylpropanenitrile	293.2	21.1	58.418	-0.16884	0.00014131		293	453
630-19-3	2,2-Dimethylpropanal	293.2	9.051	18.645	-0.032395	-0.0000016157		280	333
630-20-6	1,1,1,2-Tetrachloroethane	207.2	9.22	19.606	-0.049847			207	233
631-36-7	Tetraethylsilane	293.2	2.09						
632-22-4	Tetramethylurea	293.2	23.1						
637-27-4	Phenyl propanoate	293.2	4.77						
637-50-3	1-Propenylbenzene (unspecified isomer)	293.2	2.73						
637-59-2	(3-Bromopropyl)benzene	302.2	5.41	11.36	-0.027471	0.000025775		302	358
637-88-7	1,4-Cyclohexanedione	351.2	4.4						
638-45-9	1-Iodohexane	293.3	5.35	16.685	-0.061309	0.000077262		293	323
638-49-3	Pentyl formate	292.2	5.7						
638-68-6	Triacontane	373.2	1.9112						
64-17-5	Ethanol	293.2	25.3	151.45	-0.8702	0.001957	-0.0000015512	163	523
64-18-6	Formic acid	298.2	51.1	140.4	-0.24673	-0.00017151		287	358
64-19-7	Acetic acid	293.2	6.2	-15.731	0.12662	-0.00017738		293	363
64-67-5	Diethyl sulfate	293.2	29.2						
645-41-0	Triisopentylamine	294.2	2.29						
659-70-1	Isopentyl isopentanoate	288.2	4.39	14.698	-0.057726	0.00007619		288	323
661-19-8	1-Docosanol	348.2	2.94	8.2062	-0.025069	0.000028571		348	373
