CASRN	Chemical	T	Permittivity	A	B	C	D	Tmin	Tmax
67-56-1	Methanol	293.2	33	193.41	-0.92211	0.0012839		177	293
67-63-0	2-Propanol	293.2	20.18	104.16	-0.41011	0.00042049		193	493
67-64-1	Acetone	293.2	21.01	88.157	-0.343	0.00038925		273	323
67-66-3	Trichloromethane	293.2	4.8069	15.115	-0.05183	0.000056803		218	323
67-68-5	Dimethyl sulfoxide	293.2	47.24	38.478	0.16939	-0.00047423		288	343
67-71-0	Dimethyl sulfone	383.2	47.39	108.3	-0.159			383	398
6789-88-4	Hexyl benzoate	293.2	4.8						
68-12-2	N,N-Dimethylformamide	293.2	38.25	153.64	-0.60367	0.00071505		213	353
680-31-9	Hexamethylphosphoric triamide	293.2	31.3	95.666	-0.29769	0.00026407		283	363
681-84-5	Methyl silicate	293.2	6						
682-01-9	Propyl silicate	298.2	3.21						
684-16-2	Perfluoroacetone	202.2	2.104	3.4809	-0.0092883	0.000012282		151	238
685-91-6	N,N-Diethylacetamide	293.2	32.1						
688-74-4	Tributyl borate	293.2	2.23						
69-65-8	D-Mannitol	443.2	24.6						
693-02-7	1-Hexyne	296	2.621	5.8591	-0.017099	0.000020856		184	296
693-54-9	2-Decanone	287.2	8.3						
693-58-3	1-Bromononane	298.2	4.74	7.987	-0.010488	-0.000001345		274	328
693-65-2	Dipentyl ether	298.2	2.798						
693-67-4	1-Bromoundecane	272.6	4.61						
694-59-7	Pyridine-1-oxide	343	35.94	20.878	0.1645	-0.00035269		343	398
698-87-3	1-Phenyl-2-propanol	293.2	9.35	107.62	-0.56026	0.00076915		233	373
700-12-9	Pentamethylbenzene	334	2.358	3.0196	-0.0022619	0.00000083831		334	413
701-57-5	4-Nitrothioanisole	346	21.7						
70116-68-6	3-Methyl-2-butanol, ()-	298.2	12.1						
71-23-8	1-Propanol	293.2	20.8	98.045	-0.3686	0.00036422		193	493
71-36-3	1-Butanol	293.2	17.84	105.78	-0.50587	0.00084733	-0.00000048841	193	553
71-41-0	1-Pentanol	298.2	15.13	73.397	-0.28165	0.00028427		213	513
71-43-2	Benzene	293.2	2.2825	2.6706	-0.00091648	-0.0000014257		293	513
71-55-6	1,1,1-Trichloroethane	293.2	7.243	27.705	-0.10621	0.00012424		258	318
7132-64-1	Methyl pentadecanoate	293.2	3.296						
7307-55-3	Undecylamine	293.2	3.25	5.4945	-0.0096161	0.0000066017		293	373
74-82-8	Methane	91	1.6761	1.5996	0.0027434	-0.000022086		91	184
74-83-9	Bromomethane	275.7	9.71	40.58	-0.18418	0.00026219		195	276
74-84-0	Ethane	95	1.9356	2.0185	-0.00051493	-0.0000048148		95	295
74-85-1	Ethylene	270	1.4833	1.3546	0.0062614	-0.000021374		200	270
74-86-2	Acetylene	195	2.4841						
74-87-3	Chloromethane	295.2	10	42.775	-0.16175	0.00017108		190	392
74-88-4	Iodomethane	293.2	6.97	24.264	-0.093914	0.00011926		223	303
74-89-5	Methylamine	215.2	16.7	34.398	-0.07363	-0.000041279		198	258
74-90-8	Hydrogen cyanide	293.2	114.9	3733.1	-23.18	0.036963		258	299
74-95-3	Dibromomethane	283.2	7.77	18.06	-0.036333			283	313
74-96-4	Bromoethane	298.2	9.01	28.473	-0.085495	0.000067971		243	308
74-98-6	Propane	293.19	1.6678	2.2883	-0.0023276	0.0000008471		90	300
74-99-7	Propyne	246	3.218	6.0871	-0.01173			185	246
74112-36-0	2-Methylheptyl acetate, ()-	288.2	4.27	23.285	-0.11538	0.00017143		288	323
7433-56-9	trans-5-Decene	298.2	2.03						
7433-78-5	cis-5-Decene	298.2	2.071						
7439-90-9	Krypton	119.8	1.664						
7440-01-9	Neon	26.11	1.1907	1.2667	-0.0029064			26	29
7440-37-1	Argon	140	1.3247	1.2408	0.0068755	-0.000045344		87	149
7440-59-7	Helium	2.055	1.0555	1.064	-0.0035584			2	4
7440-63-3	Xenon	161.35	1.88						
7446-09-5	Sulfur dioxide	293.2	14.3	52.045	-0.16125	0.00011042		213	449
7446-11-9	Sulfur trioxide (-form)	291.2	3.11						
74513-58-9	Propyl trans-cinnamate	293.2	5.45						
74683-66-2	2-Nonanol, ()-	298.2	6.66	101.36	-0.55612	0.0008		288	308
74742-08-8	3-Nonanol, ()-	298.2	4.49	55.214	-0.3192	0.0005		288	308
74742-10-2	2-Decanol	298.2	5.82	136.21	-0.81	0.00125		288	308
74778-22-6	4-Octanol	293.2	4.48	51.049	-0.26664	0.0003728		243	403
75-00-3	Chloroethane	293.2	9.45	60.693	-0.3129	0.00047154		237	293
75-03-6	Iodoethane	293.2	7.82	25.598	-0.094367	0.00011424		183	343
75-04-7	Ethylamine	273.2	8.7	30.163	-0.079			233	273
75-05-8	Acetonitrile	293.2	36.64	297.24	-1.5508	0.0022591		288	333
75-07-0	Acetaldehyde	291.2	21						
75-08-1	Ethanethiol	298.2	6.667						
75-09-2	Dichloromethane	298	8.93	40.452	-0.17748	0.00023942		184	306
75-10-5	Difluoromethane	152.2	53.74	194.28	-1.2939	0.002428		152	224
75-11-6	Diiodomethane	298.2	5.32						
75-12-7	Formamide	293.2	111	260.76	-0.61145	0.00034296		278	333
75-15-0	Carbon disulfide	293.2	2.632	4.5024	-0.012054	0.000019147		154	319
75-18-3	Dimethyl sulfide	294.2	6.7						
75-21-8	Oxirane	293.2	12.42	52.661	-0.21337	0.00025947		293	243
75-25-2	Tribromomethane	283.2	4.404	7.1707	-0.0098			283	343
75-26-3	2-Bromopropane	293.2	9.46	26.195	-0.072995	0.000055454		186	328
75-28-5	Isobutane	295	1.7518	2.3295	-0.0019953	0.000000142		115	303
75-30-9	2-Iodopropane	298.2	8.19						
75-31-0	Isopropylamine	293.2	5.6268	40.429	-0.21441	0.00032634		213	298
75-33-2	2-Propanethiol	298.2	5.952						
75-34-3	1,1-Dichloroethane	298.2	10.1	24.429	-0.048			288	318
75-35-4	1,1-Dichloroethene	293.2	4.6						
75-36-5	Acetyl chloride	295.2	15.8						
75-44-5	Carbonyl chloride	295.2	4.3						
75-46-7	Trifluoromethane	294	5.2	114.42	-0.756	0.0013562		130	263
75-50-3	Trimethylamine	298.2	2.44	3.9745	-0.0051331			273	298
75-52-5	Nitromethane	293.2	37.27	112.27	-0.35591	0.00034206		288	343
75-61-6	Dibromodifluoromethane	273.2	2.939	6.7296	-0.022133	0.000030213		139	273
75-62-7	Bromotrichloromethane	293.2	2.405	2.9249	-0.001765			273	333
75-63-8	Bromotrifluoromethane	123.2	3.73	5.4154	-0.01368			123	173
75-65-0	2-Methyl-2-propanol	298.2	12.47	225.41	-1.499	0.003405	-0.0000025968	298	503
75-66-1	2-Methyl-2-propanethiol	293.2	5.475	10.597	-0.0175			283	313
75-69-4	Trichlorofluoromethane	293.2	3	5.3203	-0.011061	0.000010688		206	323
75-71-8	Dichlorodifluoromethane	123.2	3.5	4.6984	-0.00976			123	223
75-72-9	Chlorotrifluoromethane	123.2	3.01	4.3677	-0.01102			123	173
75-73-0	Tetrafluoromethane	126.3	1.685	2.035	-0.0027616			126	142
75-76-3	Tetramethylsilane	293.2	1.921						
75-77-4	Trimethylchlorosilane	273.2	10.21	-19.492	0.29806	-0.00069284		223	273
75-83-2	2,2-Dimethylbutane	293.2	1.869	2.274	-0.00096229	-0.0000014286		273	313
75-84-3	2,2-Dimethyl-1-propanol	333.2	8.35	92.35	-0.4187	0.0005		333	373
75-85-4	2-Methyl-2-butanol	298.2	5.78	116.62	-0.69756	0.001092		268	318
75-87-6	Trichloroacetaldehyde	298.2	6.8						
75-89-8	2,2,2-Trifluoroethanol	293.2	27.68	90.593	-0.21421			293	318
75-97-8	3,3-Dimethyl-2-butanone	293.2	12.73	66.857	-0.28552	0.00034422		243	293
754-10-9	2,2-Dimethylpropanamide	298.2	20.13	104	-0.46017	0.0006		298	328
7550-45-0	Titanium(IV) chloride	257.4	2.843	3.3668	-0.0019675			237	257
7553-56-2	Iodine	391.25	11.08	64.73	-0.29266	0.00039759		391	441
76-01-7	Pentachloroethane	298.2	3.716	6.5972	-0.00968			298	338
76-03-9	Trichloroacetic acid	333.2	4.34	1.3412	0.009	-2.413E-015		333	393
76-05-1	Trifluoroacetic acid	293.2	8.42	21.652	-0.068146	0.000078571		263	323
76-06-2	Trichloronitromethane	293.2	7.319	14.403	-0.024178			276	333
76-12-0	1,1,2,2-Tetrachloro-1,2-difluoroethane	308.2	2.52						
76-14-2	1,2-Dichloro-1,1,2,2-tetrafluoroethane	273.2	2.4842	3.6663	-0.0042271	-0.00000036255		193	273
76-37-9	2,2,3,3-Tetrafluoro-1-propanol	298.2	21.03						
761-65-9	N,N-Dibutylformamide	293.2	18.4						
7616-94-6	Perchloryl fluoride	150.2	2.194	2.3808	-0.00038629	-0.0000057143		125	150
7632-51-1	Vanadium(IV) chloride	298.2	3.05						
7642-09-3	cis-3-Hexene	296	2.069	3.0691	-0.0045458	0.0000039898		155	296
7642-15-1	cis-4-Octene	298.2	2.053						
7646-78-8	Tin(IV) chloride	273.2	3.014	4.3951	-0.0048805			234	273
7647-01-0	Hydrogen chloride	158.9	14.3	47.316	-0.28455	0.0004865		159	258
7647-18-9	Antimony(V) chloride	293	3.222	4.5413	-0.0045078			276	320
765-09-3	1-Bromotridecane	281.15	4.19						
7664-39-3	Hydrogen fluoride	273.2	83.6	503.52	-1.9297	0.0014372		200	273
7664-41-7	Ammonia	293.2	16.61	66.756	-0.24696	0.00025913		238	323
768-32-1	Trimethylphenylsilane	298.2	2.3533	2.1463	0.0032711	-0.0000086264		288	323
77-74-7	3-Methyl-3-pentanol	293.2	4.322						
77-78-1	Dimethyl sulfate	298.2	55						
7704-34-9	Sulfur (rhombic)	407.2	3.4991	5.1651	-0.0077381	0.000008912		407	479
7719-09-7	Thionyl chloride	298.2	8.675						
7719-12-2	Phosphorus(III) chloride	290.2	3.498	5.9098	-0.0083322			290	333
7722-84-1	Hydrogen peroxide	290.2	74.6	485.11	-2.3145	0.003102		233	303
7723-14-0	Phosphorus (white)	307.2	4.096	0.79018	0.023911	-0.000042826		307	358
7726-95-6	Bromine	297.9	3.1484	3.2701	-0.00012535			273	327
7727-15-3	Aluminum bromide	373.2	3.38						
7727-18-6	Vanadyl trichloride	298.2	3.4						
7727-37-9	Nitrogen	63.15	1.468	1.255	0.0067949	-0.000056704		63	126
7731-28-4	cis-4-Methylcyclohexanol	293.2	13.45	65.021	-0.22896	0.00017946		273	323
7732-18-5	Water	293.2	80.1	249.21	-0.79069	0.00072997		273	372
7782-41-4	Fluorine	53.48	1.4913	1.4144	0.0026387	-0.000028356		54	144
7782-44-7	Oxygen	54.478	1.5684	1.5434	0.0014615	-0.000021964		55	154
7782-49-2	Selenium (gray)	510.65	5.44	6.7569	-0.0025829			511	575
7782-50-5	Chlorine	208	2.147	2.944	-0.0044649	0.0000030388		208	240
7783-06-4	Hydrogen sulfide	283.2	5.93	14.736	-0.033675	0.000009674		212	363
7783-66-6	Iodine pentafluoride	293.2	37.13	95.184	-0.198			273	313
7784-42-1	Arsine	200.9	2.4	3.7674	-0.0097454	0.000014537		157	201
7787-71-5	Bromine trifluoride	298.2	106.8						
7789-30-2	Bromine pentafluoride	297.7	7.91	11.428	-0.011822			262	298
7789-67-5	Tin(IV) bromide	303.45	3.169	5.0001	-0.0060383			304	316
7790-91-2	Chlorine trifluoride	293.2	4.394	9.6716	-0.018			273	313
7791-23-3	Selenium oxychloride	293.2	46.2						
7791-25-5	Sulfuryl chloride	293.2	9.1						
78-10-4	Ethyl silicate	293.2	2.5						
78-30-8	Tri-o-cresyl phosphate	298.2	6.7						
78-40-0	Triethyl phosphate	298.2	13.2	61.23	-0.26047	0.00033333		298	333
78-62-6	Diethoxydimethylsilane	298.2	3.216						
78-75-1	1,2-Dibromopropane	283.2	4.6	5.4973	-0.0031695			283	333
78-77-3	1-Bromo-2-methylpropane	273.2	7.7	37.558	-0.20571	0.00035496		112	273
78-78-4	Isopentane	293.2	1.845	2.2384	-0.0012985	-0.00000016182		143	293
78-79-5	2-Methyl-1,3-butadiene	293.2	2.098	2.817	-0.0023147	-0.00000043975		198	293
78-82-0	2-Methylpropanenitrile	293.2	24.42	52.554	-0.096			293	313
78-83-1	2-Methyl-1-propanol	293.2	17.93	107.62	-0.51398	0.00083702	-0.000000453	173	533
78-92-2	2-Butanol	293.2	17.26	138.5	-0.75146	0.0014086	-0.00000089512	172	533
78-93-3	2-Butanone	293.2	18.56	15.457	0.090152	-0.000271		293	333
78918-91-9	3-Methylhexane	293.2	1.92	2.7089	-0.0037908	0.00000375		273	323
79-00-5	1,1,2-Trichloroethane	298.2	7.1937	17.147	-0.033371			288	318
79-01-6	Trichloroethene	301.5	3.39	5.8319	-0.0080828			302	338
79-09-4	Propanoic acid	298.2	3.44	1.8793	0.0046841	0.0000019983		289	408
79-11-8	Chloroacetic acid	338.2	12.35	17.31	-0.014674			338	393
79-16-3	N-Methylacetamide	303.2	179	1597.5	-9.0451	0.018345	-0.000012998	303	473
79-20-9	Methyl acetate	288.2	7.07	13.19	-0.021226			276	318
79-24-3	Nitroethane	288.2	29.11	57.406	-0.097657			276	333
79-27-6	1,1,2,2-Tetrabromoethane	303.2	6.72	16.246	-0.0315			303	333
79-29-8	2,3-Dimethylbutane	293.2	1.889	2.4305	-0.0020081	0.00000053571		273	323
79-31-2	2-Methylpropanoic acid	293.2	2.58						
79-34-5	1,1,2,2-Tetrachloroethane	293.2	8.5						
79-37-8	Oxalyl chloride	294.35	3.47						
79-43-6	Dichloroacetic acid	293.2	8.33	11.014	-0.010859	0.0000049242		284	363
79-46-9	2-Nitropropane	288.2	26.74	60.138	-0.11566			276	303
79-77-6	trans--Ionone	297.65	11.66						
80-56-8	-Pinene	298.2	2.1787						
80-62-6	Methyl methacrylate	303.2	6.32	32.098	-0.14568	0.0002		303	343
80-70-6	1,1,3,3-Tetramethylguanidine	298.2	11.5						
814-67-5	1,2-Propanedithiol	293.2	7.24	14.667	-0.03266	0.000025		293	333
815-24-7	Di-tert-butyl ketone	287.65	10						
816-79-5	3-Ethyl-2-pentene	293.2	2.051						
817-91-4	4-Methyl-1-heptanol	290.6	4.63	48.612	-0.26773	0.00039972		237	332
818-38-2	Diethyl glutarate	303.2	6.659						
821-55-6	2-Nonanone	295.2	9.14						
821-76-1	1,7-Dichloroheptane	298.2	8.34						
821-95-4	1-Undecene	293.2	2.137	2.2132	0.0013121	-0.0000053571		273	323
822-06-0	Hexamethylene diisocyanate	288.2	14.41	26.715	-0.042696			288	403
822-23-1	Octadecyl acetate	308.2	3.07	4.4569	-0.0045	3.3923E-015		308	348
830-13-7	Cyclododecanone	303.2	11.4	39.327	-0.13248	0.00013298		303	423
84-66-2	Diethyl phthalate	293.2	7.86						
84-74-2	Dibutyl phthalate	293.2	6.58	12.444	-0.02			293	333
84-75-3	Dihexyl phthalate	293.2	5.62						
849-99-0	Dicyclohexyl hexanedioate	308.2	4.84						
85-01-8	Phenanthrene	383.2	2.72						
86-57-7	1-Nitronaphthalene	333.2	19.68	36.267	-0.041283	-0.000025595		333	403
865-49-6	Trichloromethane-d	298.2	4.67						
87-20-7	Isopentyl salicylate	293.12	7.26	13.129	-0.01919	-0.000003606		225	397
87-25-2	Ethyl 2-aminobenzoate	298.2	4.14						
87-68-3	Hexachloro-1,3-butadiene	293.2	2.55						
87-85-4	Hexamethylbenzene	449	2.172	3.571	-0.0046912	0.0000035088		449	489
87-92-3	Dibutyl tartrate	314.2	9.4						
87-99-0	Xylitol	293.2	40						
872-05-9	1-Decene	293.2	2.136	1.9091	0.0033442	-0.00000875		273	323
872-10-6	Dipentyl sulfide	298.2	3.826						
872-50-4	N-Methyl-2-pyrrolidinone	293.2	32.55						
872-93-5	3-Methyl sulfolane	298.2	29.4	53.158	-0.09373	0.000047275		298	398
874-63-5	3,5-Dimethylanisole	293.2	3.711	5.4981	-0.0056651	-0.0000014286		293	333
877-08-7	1,2,3,4-Tetrachloro-5,6-dimethylbenzene	293.2	8						
877-09-8	1,2,3,5-Tetrachloro-4,6-dimethylbenzene	293.2	5.4						
877-11-2	2,3,4,5,6-Pentachlorotoluene	293.2	4.8						
88-09-5	2-Ethylbutanoic acid	296.2	2.72						
88-72-2	2-Nitrotoluene	293	26.26	104.2	-0.41726	0.00051607		273	323
88-73-3	1-Chloro-2-nitrobenzene	323.2	37.7	168	-0.59708	0.00059957		323	436
88-74-4	2-Nitroaniline	353	47.3	189	-0.56977	0.00047484		353	468
88-75-5	2-Nitrophenol	323.2	16.5	33.827	-0.062123	0.000026774		323	453
88-89-1	2,4,6-Trinitrophenol	294.2	4						
89-60-1	1-Chloro-4-methyl-2-nitrobenzene	301.2	28.07						
89-83-8	Thymol	333.2	4.259						
89-96-3	1-Chloro-2-ethylbenzene	298.2	4.36						
89583-12-0	3,4-Dibromohexane	298.2	6.732						
90-02-8	Salicylaldehyde	293.2	18.35	51.315	-0.15379	0.00014111		289	453
90-04-0	2-Methoxyaniline	303.2	5.23	7.9911	-0.0092183	0.00000037879		303	393
90-05-1	2-Methoxyphenol	298.2	11.95	31.751	-0.088173	0.000072953		291	448
90-11-9	1-Bromonaphthalene	298.2	4.768	10.561	-0.027671	0.000027655		293	323
90-12-0	1-Methylnaphthalene	293.2	2.915	4.5126	-0.007648	0.0000075		293	333
90-13-1	1-Chloronaphthalene	298.2	5.04	8.4861	-0.012357	0.0000026899		274	328
90-15-3	1-Naphthol	373	5.03	16.489	-0.0467	0.000042857		373	453
91-16-7	1,2-Dimethoxybenzene	293.2	4.45	7.4604	-0.013445	0.000010737		293	443
91-20-3	Naphthalene	363.2	2.54						
91-22-5	Quinoline	293.2	9.16	33.432	-0.13497	0.00017788		258	323
91-23-6	2-Nitroanisole	293.2	45.75	166.84	-0.58196	0.00057382		293	423
91-49-6	N-Butyl-N-phenylacetamide	298.2	11.66						
91-57-6	2-Methylnaphthalene	313.2	2.747						
91-59-8	2-Naphthylamine	393	5.26	19.722	-0.060679	0.000060714		393	473
91-62-3	6-Methylquinoline	293.2	8.48	21.696	-0.0634	0.0000625		293	333
91-63-4	2-Methylquinoline	293.2	7.24	11.688	-0.00784	-0.000025		293	333
91-64-5	2H-1-Benzopyran-2-one	343.2	34.04	113.11	-0.33804	0.00031324		343	423
91-66-7	N,N-Diethylaniline	303.2	5.15	5.0773	0.015399	-0.00005		303	328
91049-43-3	1,2-Pentanediol, ()-	296.8	17.31	184.36	-1.0682	0.0017037		197	297
91840-99-2	2-Butanethiol	288.2	5.645	10.866	-0.017993			273	318
92-52-4	Biphenyl	348.2	2.53	2.6869	0.00063072	-0.0000030995		348	428
920-66-1	1,1,1,3,3,3-Hexafluoro-2-propanol	293.2	16.7						
926-56-7	4-Methyl-1,3-pentadiene	293.2	2.599	5.1328	-0.012774	0.000014215		198	323
927-80-0	Ethoxyacetylene	298.2	8.05						
928-45-0	Butyl nitrate	293.2	13.1						
93-04-9	2-Methoxynaphthalene	353.2	3.563	5.6702	-0.0069754	0.0000028571		353	373
93-08-3	2-Acetonaphthone	333.2	13.03	145.38	-0.7304	0.001		333	363
93-54-9	-Ethylbenzenemethanol	293.2	6.68	44.52	-0.21505	0.00029443		233	373
93-58-3	Methyl benzoate	302.7	6.642	17.486	-0.051027	0.000050222		303	393
93-89-0	Ethyl benzoate	293.2	6.2	18.216	-0.062361	0.000072884		288	343
931-19-1	2-Methylpyridine-1-oxide	323.2	36.4	117.05	-0.35301	0.00032		323	398
931-87-3	cis-Cyclooctene	296	2.306	3.1115	-0.0032058	0.0000016713		269	406
934-74-7	1-Ethyl-3,5-dimethylbenzene	293.2	2.275						
935-05-7	Benzyl nitrite	298.2	7.78						
94-02-0	Ethyl benzoylacetate	303.2	13.5	9.3644	0.07428	-0.0002		303	323
94-96-2	2-Ethyl-1,3-hexanediol	293.2	18.73	57.919	-0.17128	0.00012949		233	333
945-51-7	Diphenyl sulfoxide	344.7	16.6						
946-80-5	Benzyl phenyl ether	313.2	3.748						
95-46-5	2-Bromotoluene	293.2	4.641	10.229	-0.02505	0.000020357		273	323
95-47-6	o-Xylene	293.2	2.562	3.6163	-0.0040177	0.0000014286		273	323
95-48-7	o-Cresol	298.2	6.76	21.633	-0.071069	0.00007059		298	453
95-49-8	2-Chlorotoluene	293.2	4.721	11.507	-0.031148	0.000027143		273	323
95-50-1	o-Dichlorobenzene	293.2	10.12	13.629	0.0010622	-0.000044444		293	353
95-51-2	2-Chloroaniline	293.2	13.4						
95-52-3	2-Fluorotoluene	298.2	4.23						
95-53-4	2-Methylaniline	298.2	6.138	10.988	-0.018976	0.0000091958		298	398
95-57-8	2-Chlorophenol	296.2	7.4	29.755	-0.11256	0.0001239		296	448
95-63-6	1,2,4-Trimethylbenzene	293.2	2.377	3.1517	-0.0030634	0.0000014286		273	323
95-65-8	3,4-Xylenol	333.2	9.02	54.423	-0.21153	0.00022508		333	453
95-73-8	2,4-Dichlorotoluene	301.2	5.68						
95-75-0	3,4-Dichlorotoluene	301.2	9.39						
95-87-4	2,5-Xylenol	338.2	5.36	18.049	-0.054991	0.000051656		338	455
95-92-1	Diethyl oxalate	293.2	8.266	21.938	-0.066226	0.0000668		293	368
95-93-2	1,2,4,5-Tetramethylbenzene	356	2.223	2.6834	-0.0010327	-0.00000073533		356	430
96-11-7	1,2,3-Tribromopropane	303.2	6	11.024	-0.016596			303	358
96-14-0	3-Methylpentane	293.2	1.886	2.4739	-0.002319	0.0000010714		273	323
96-18-4	1,2,3-Trichloropropane	293.2	7.5						
96-22-0	3-Pentanone	293.2	17	12.69	0.095177	-0.00027321		233	353
96-24-2	3-Chloro-1,2-propanediol	293.2	31						
96-29-7	2-Butanone oxime	293.2	3.4						
96-33-3	Methyl acrylate	303.2	7.03	11.968	-0.0165			303	333
96-34-4	Methyl chloroacetate	293.2	12						
96-37-7	Methylcyclopentane	293.2	1.9853	2.1587	-0.0002245	-0.00000125		293	323
96-41-3	Cyclopentanol	288.2	18.5	105.65	-0.44244	0.00048657		258	323
96-47-9	2-Methyltetrahydrofuran	298.2	6.97						
96-48-0	-Butyrolactone	293.2	39						
96-49-1	Ethylene carbonate	313.2	89.78	207.46	-0.3761			313	343
97-53-0	4-Allyl-2-methoxyphenol	293.2	9.55	52.377	-0.2438	0.00033333		273	323
97-63-2	Ethyl methacrylate	303.2	5.68	40.962	-0.2052	0.00029286		303	343
97-72-3	2-Methylpropanoic anhydride	292.2	13.6						
97-94-9	Triethylborane	293.2	1.974						
97-95-0	2-Ethyl-1-butanol	362.2	6.19						
97-99-4	Tetrahydrofurfuryl alcohol	303.2	13.48						
98-00-0	Furfuryl alcohol	298.2	16.85						
98-01-1	Furfural	293.2	42.1						
98-06-6	tert-Butylbenzene	293.2	2.359	2.7924	-0.0003835	-0.00000375		273	323
98-08-8	(Trifluoromethyl)benzene	298.2	9.22						
98-09-9	Benzenesulfonyl chloride	323.2	28.9	83.886	-0.23405	0.00019713		323	473
98-59-9	p-Toluenesulfonyl chloride	343.2	22.6						
98-68-0	4-Methoxybenzenesulfonyl chloride	314.2	27.2						
98-82-8	Isopropylbenzene	293.2	2.381	3.1149	-0.0030801	0.0000019643		273	323
98-83-9	Isopropenylbenzene	293.2	2.28						
98-85-1	-Methylbenzenemethanol	293.2	8.77	32.971	-0.12042	0.00012809		293	423
98-86-2	Acetophenone	298.2	17.44	26.099	0.0064048	-0.00011905		298	333
98-87-3	(Dichloromethyl)benzene	293.2	6.9						
98-88-4	Benzoyl chloride	293.2	23						
98-89-5	Cyclohexanecarboxylic acid	304.2	2.67						
98-95-3	Nitrobenzene	293	35.6	112.12	-0.35211	0.00031128		279	533
99-08-1	3-Nitrotoluene	303.2	24.95	62.492	-0.16235	0.00012844		303	403
99-09-2	3-Nitroaniline	398	35.6	203.52	-0.66582	0.0006131		398	468
99-65-0	1,3-Dinitrobenzene	365.2	22.9	104.06	-0.34133	0.00032609		365	413
99-75-2	Methyl 4-methylbenzoate	306.2	4.3						
99-85-4	-Terpinene	298.2	2.2738						
99-86-5	-Terpinene	298.2	2.4526						
99-87-6	1-Isopropyl-4-methylbenzene	298.2	2.2322	2.5266	-0.00025121	-0.0000024867		277	333
99-97-8	4-Methyl-N,N-dimethylaniline	293.2	3.9						
99-99-0	4-Nitrotoluene	331.2	22.2						
994-49-0	Hexaethyldisiloxane	298.2	2.259	3.6559	-0.0072406	0.0000085714		298	333
998-93-6	4-Bromoheptane	295.2	6.81						
998-95-8	4-Chloroheptane	295.2	6.54						
999-52-0	3-Chloroheptane	295.2	6.7						
999-97-3	Hexamethyldisilazane	294.2	2.273	2.3358	0.0016127	-0.0000062078		294	333
