CASRN	Chemical	Formula	Hfus
6834-92-0	Sodium metasilicate	Na2O3Si	51800
684-16-2	Perfluoroacetone	C3F6O	8380
6876-23-9	trans-1,2-Dimethylcyclohexane	C8H16	10490
69-72-7	2-Hydroxybenzoic acid	C7H6O3	14200
7098-22-8	Tetratetracontane	C44H90	149600
7098-24-0	Hexatetracontane	C46H94	176000
71-23-8	1-Propanol	C3H8O	5370
71-36-3	1-Butanol	C4H10O	9370
71-41-0	1-Pentanol	C5H12O	10500
71-43-2	Benzene	C6H6	9870
71-55-6	1,1,1-Trichloroethane	C2H3Cl3	2350
7154-79-2	2,2,3,3-Tetramethylpentane	C9H20	2330
7194-85-6	Octatriacontane	C38H78	133200
72-14-0	Sulfathiazole	C9H9N3O2S2	26400
723-46-6	Sulfamethoxazole	C10H11N3O3S	32200
738-70-5	Trimethoprim	C14H18N4O3	49400
74-82-8	Methane	CH4	940
74-83-9	Bromomethane	CH3Br	5980
74-84-0	Ethane	C2H6	2720
74-85-1	Ethylene	C2H4	3350
74-87-3	Chloromethane	CH3Cl	6430
74-89-5	Methylamine	CH5N	6130
74-90-8	Hydrogen cyanide	CHN	8410
74-93-1	Methanethiol	CH4S	5910
74-96-4	Bromoethane	C2H5Br	7470
74-98-6	Propane	C3H8	3500
7429-90-5	Aluminum	Al	10710
7429-91-6	Dysprosium	Dy	11350
7429-92-7	Einsteinium	Es	9410
7439-88-5	Iridium	Ir	41120
7439-89-6	Iron	Fe	13810
7439-90-9	Krypton	Kr	1640
7439-91-0	Lanthanum	La	6200
7439-92-1	Lead	Pb	4774
7439-93-2	Lithium	Li	3000
7439-94-3	Lutetium	Lu	18650
7439-95-4	Magnesium	Mg	8480
7439-96-5	Manganese	Mn	12910
7439-97-6	Mercury	Hg	2295
7439-98-7	Molybdenum	Mo	37480
7439-99-8	Neptunium	Np	3200
7440-00-8	Neodymium	Nd	7140
7440-01-9	Neon	Ne	328
7440-02-0	Nickel	Ni	17480
7440-03-1	Niobium	Nb	30000
7440-04-2	Osmium	Os	57850
7440-05-3	Palladium	Pd	16740
7440-06-4	Platinum	Pt	22175
7440-07-5	Plutonium	Pu	2824
7440-08-6	Polonium	Po	10000
7440-09-7	Potassium	K	2335
7440-10-0	Praseodymium	Pr	6890
7440-13-3	Protactinium	Pa	12340
7440-14-4	Radium	Ra	7700
7440-15-5	Rhenium	Re	34080
7440-16-6	Rhodium	Rh	26590
7440-17-7	Rubidium	Rb	2190
7440-18-8	Ruthenium	Ru	38590
7440-19-9	Samarium	Sm	8620
7440-20-2	Scandium	Sc	14100
7440-21-3	Silicon	Si	50210
7440-22-4	Silver	Ag	11300
7440-23-5	Sodium	Na	2600
7440-24-6	Strontium	Sr	7430
7440-25-7	Tantalum	Ta	36570
7440-26-8	Technetium	Tc	33290
7440-27-9	Terbium	Tb	10150
7440-28-0	Thallium	Tl	4142
7440-29-1	Thorium	Th	13810
7440-30-4	Thulium	Tm	16840
7440-31-5	Tin (white)	Sn	7150
7440-32-6	Titanium	Ti	14150
7440-33-7	Tungsten	W	52310
7440-34-8	Actinium	Ac	12000
7440-35-9	Americium	Am	14390
7440-36-0	Antimony (gray)	Sb	19790
7440-37-1	Argon	Ar	1180
7440-38-2	Arsenic (gray)	As	24440
7440-39-3	Barium	Ba	7120
7440-41-7	Beryllium	Be	7895
7440-42-8	Boron	B	50200
7440-43-9	Cadmium	Cd	6210
7440-45-1	Cerium	Ce	5460
7440-46-2	Cesium	Cs	2090
7440-47-3	Chromium	Cr	21000
7440-48-4	Cobalt	Co	16200
7440-50-8	Copper	Cu	13260
7440-51-9	Curium	Cm	14640
7440-52-0	Erbium	Er	19900
7440-53-1	Europium	Eu	9210
7440-54-2	Gadolinium	Gd	9670
7440-55-3	Gallium	Ga	5585
7440-56-4	Germanium	Ge	36940
7440-57-5	Gold	Au	12550
7440-58-6	Hafnium	Hf	27200
7440-60-0	Holmium	Ho	11760
7440-61-1	Uranium	U	9140
7440-62-2	Vanadium	V	21500
7440-63-3	Xenon	Xe	2270
7440-64-4	Ytterbium	Yb	7660
7440-65-5	Yttrium	Y	11390
7440-66-6	Zinc	Zn	7068
7440-67-7	Zirconium	Zr	21000
7440-69-9	Bismuth	Bi	11106
7440-70-2	Calcium	Ca	8540
7440-74-6	Indium	In	3291
7446-07-3	Tellurium dioxide	O2Te	28900
7446-08-4	Selenium dioxide	O2Se	17600
7446-11-9	Sulfur trioxide (γ-form)	O3S	8600
7446-14-2	Lead(II) sulfate	O4PbS	40200
7446-18-6	Thallium(I) sulfate	O4STl2	23800
7446-70-0	Aluminum chloride	AlCl3	35350
7447-39-4	Copper(II) chloride	Cl2Cu	15000
7447-40-7	Potassium chloride	ClK	26280
7447-41-8	Lithium chloride	ClLi	19800
7487-88-9	Magnesium sulfate	MgO4S	14600
7487-94-7	Mercury(II) chloride	Cl2Hg	19410
7488-54-2	Rubidium sulfate	O4Rb2S	37300
75-00-3	Chloroethane	C2H5Cl	4450
75-01-4	Chloroethene	C2H3Cl	4920
75-05-8	Acetonitrile	C2H3N	8160
75-07-0	Acetaldehyde	C2H4O	2310
75-08-1	Ethanethiol	C2H6S	4980
75-09-2	Dichloromethane	CH2Cl2	4600
75-12-7	Formamide	CH3NO	8440
75-15-0	Carbon disulfide	CS2	4390
75-18-3	Dimethyl sulfide	C2H6S	7990
75-19-4	Cyclopropane	C3H6	5440
75-21-8	Oxirane	C2H4O	5170
75-25-2	Tribromomethane	CHBr3	11050
75-26-3	2-Bromopropane	C3H7Br	6530
75-28-5	Isobutane	C4H10	4540
75-29-6	2-Chloropropane	C3H7Cl	7390
75-31-0	Isopropylamine	C3H9N	7330
75-33-2	2-Propanethiol	C3H8S	5740
75-34-3	1,1-Dichloroethane	C2H4Cl2	7870
75-35-4	1,1-Dichloroethene	C2H2Cl2	6510
75-44-5	Carbonyl chloride	CCl2O	5740
75-45-6	Chlorodifluoromethane	CHClF2	4120
75-46-7	Trifluoromethane	CHF3	4060
75-47-8	Triiodomethane	CHI3	16440
75-50-3	Trimethylamine	C3H9N	7000
75-52-5	Nitromethane	CH3NO2	9700
75-62-7	Bromotrichloromethane	CBrCl3	2530
75-64-9	tert-Butylamine	C4H11N	882
75-65-0	2-Methyl-2-propanol	C4H10O	6700
75-69-4	Trichlorofluoromethane	CCl3F	6890
75-73-0	Tetrafluoromethane	CF4	704
75-74-1	Tetramethyl lead	C4H12Pb	10800
75-76-3	Tetramethylsilane	C4H12Si	6870
75-83-2	2,2-Dimethylbutane	C6H14	580
75-85-4	2-Methyl-2-butanol	C5H12O	4460
7550-35-8	Lithium bromide	BrLi	17660
7550-45-0	Titanium(IV) chloride	Cl4Ti	9970
7553-56-2	Iodine	I2	15520
7580-67-8	Lithium hydride	HLi	21800
76-01-7	Pentachloroethane	C2HCl5	11300
76-03-9	Trichloroacetic acid	C2HCl3O2	5900
76-12-0	1,1,2,2-Tetrachloro-1,2-difluoroethane	C2Cl4F2	3670
76-13-1	1,1,2-Trichloro-1,2,2-trifluoroethane	C2Cl3F3	2470
76-14-2	1,2-Dichloro-1,1,2,2-tetrafluoroethane	C2Cl2F4	1510
76-15-3	Chloropentafluoroethane	C2ClF5	1860
76-16-4	Hexafluoroethane	C2F6	2690
76-19-7	Perfluoropropane	C3F8	477
7631-99-4	Sodium nitrate	NNaO3	15500
7632-00-0	Sodium nitrite	NNaO2	14900
7632-51-1	Vanadium(IV) chloride	Cl4V	2300
7637-07-2	Boron trifluoride	BF3	4200
7646-69-7	Sodium hydride	HNa	26000
7646-78-8	Tin(IV) chloride	Cl4Sn	9200
7646-79-9	Cobalt(II) chloride	Cl2Co	46000
7646-85-7	Zinc chloride	Cl2Zn	10300
7647-01-0	Hydrogen chloride	ClH	2000
7647-10-1	Palladium(II) chloride	Cl2Pd	18410
7647-14-5	Sodium chloride	ClNa	28160
7647-15-6	Sodium bromide	BrNa	26230
7647-17-8	Cesium chloride	ClCs	20400
765-30-0	Cyclopropylamine	C3H7N	13180
7664-38-2	Phosphoric acid	H3O4P	13400
7664-39-3	Hydrogen fluoride	FH	4580
7664-41-7	Ammonia	H3N	5660
7664-93-9	Sulfuric acid	H2O4S	10710
7667-80-3	Hexacontane	C60H122	193200
7681-11-0	Potassium iodide	IK	24000
7681-49-4	Sodium fluoride	FNa	33350
7681-55-2	Sodium iodate	INaO3	35100
7681-65-4	Copper(I) iodide	CuI	7930
7681-82-5	Sodium iodide	INa	23700
7688-21-3	cis-2-Hexene	C6H12	8880
7693-26-7	Potassium hydride	HK	21000
7693-27-8	Magnesium hydride	H2Mg	14000
7697-37-2	Nitric acid	HNO3	10500
7699-45-8	Zinc bromide	Br2Zn	15700
7704-34-9	Sulfur (monoclinic)	S	1721
7705-08-0	Iron(III) chloride	Cl3Fe	40000
771-56-2	2,3,4,5,6-Pentafluorotoluene	C7H3F5	13100
771-61-9	Pentafluorophenol	C6HF5O	16410
7718-54-9	Nickel(II) chloride	Cl2Ni	77900
7719-12-2	Phosphorus(III) chloride	Cl3P	7100
7720-83-4	Titanium(IV) iodide	I4Ti	19800
7721-01-9	Tantalum(V) chloride	Cl5Ta	35100
7722-84-1	Hydrogen peroxide	H2O2	12500
7723-14-0	Phosphorus (red)	P	18540
7726-95-6	Bromine	Br2	10570
7727-15-3	Aluminum bromide	AlBr3	11250
7727-37-9	Nitrogen	N2	710
7727-43-7	Barium sulfate	BaO4S	40000
7732-18-5	Water	H2O	6010
7757-79-1	Potassium nitrate	KNO3	9600
7757-82-6	Sodium sulfate	Na2O4S	23850
7757-83-7	Sodium sulfite	Na2O3S	25900
7757-87-1	Magnesium phosphate	Mg3O8P2	121000
7758-02-3	Potassium bromide	BrK	25520
7758-09-0	Potassium nitrite	KNO2	16700
7758-88-5	Cerium(III) fluoride	CeF3	55600
7758-89-6	Copper(I) chloride	ClCu	7080
7758-94-3	Iron(II) chloride	Cl2Fe	42830
7758-95-4	Lead(II) chloride	Cl2Pb	21880
7759-02-6	Strontium sulfate	O4SSr	36000
7761-88-8	Silver(I) nitrate	AgNO3	11720
7772-99-8	Tin(II) chloride	Cl2Sn	14520
7773-01-5	Manganese(II) chloride	Cl2Mn	30700
7774-29-0	Mercury(II) iodide (yellow)	HgI2	15600
7775-09-9	Sodium chlorate	ClNaO3	22600
7775-11-3	Sodium chromate	CrNa2O4	24700
7775-19-1	Sodium metaborate	BNaO2	36200
7778-18-9	Calcium sulfate	CaO4S	28000
7778-80-5	Potassium sulfate	K2O4S	36600
7782-41-4	Fluorine	F2	510
7782-42-5	Carbon (graphite)	C	117400
7782-44-7	Oxygen	O2	440
7782-49-2	Selenium (gray)	Se	6690
7782-50-5	Chlorine	Cl2	6400
7782-64-1	Manganese(II) fluoride	F2Mn	30000
7783-06-4	Hydrogen sulfide	H2S	2380
7783-39-3	Mercury(II) fluoride	F2Hg	23000
7783-40-6	Magnesium fluoride	F2Mg	58700
7783-46-2	Lead(II) fluoride	F2Pb	14700
7783-47-3	Tin(II) fluoride	F2Sn	10500
7783-48-4	Strontium fluoride	F2Sr	29700
7783-49-5	Zinc fluoride	F2Zn	40000
7783-50-8	Iron(III) fluoride	F3Fe	580
7783-52-0	Indium(III) fluoride	F3In	64000
7783-56-4	Antimony(III) fluoride	F3Sb	22800
7783-62-2	Tin(IV) fluoride	F4Sn	27600
7783-63-3	Titanium(IV) fluoride	F4Ti	41000
7783-64-4	Zirconium(IV) fluoride	F4Zr	61000
7783-68-8	Niobium(V) fluoride	F5Nb	12200
7783-71-3	Tantalum(V) fluoride	F5Ta	12000
7783-72-4	Vanadium(V) fluoride	F5V	49960
7783-75-7	Iridium(VI) fluoride	F6Ir	8400
7783-77-9	Molybdenum(VI) fluoride	F6Mo	4330
7783-81-5	Uranium(VI) fluoride	F6U	19200
7783-82-6	Tungsten(VI) fluoride	F6W	4100
7783-86-0	Iron(II) iodide	FeI2	39000
7783-90-6	Silver(I) chloride	AgCl	13054
7783-96-2	Silver(I) iodide	AgI	9414
7784-18-1	Aluminum fluoride	AlF3	98000
7784-23-8	Aluminum iodide	AlI3	15900
7784-33-0	Arsenic(III) bromide	AsBr3	11700
7784-34-1	Arsenic(III) chloride	AsCl3	10100
7784-35-2	Arsenic(III) fluoride	AsF3	10400
7784-45-4	Arsenic(III) iodide	AsI3	21800
7785-23-1	Silver(I) bromide	AgBr	9163
7786-30-3	Magnesium chloride	Cl2Mg	43100
7787-32-8	Barium fluoride	BaF2	23360
7787-46-4	Beryllium bromide	BeBr2	18000
7787-47-5	Beryllium chloride	BeCl2	8660
7787-49-7	Beryllium fluoride	BeF2	4770
7787-53-3	Beryllium iodide	BeI2	20920
7787-58-8	Bismuth tribromide	BiBr3	21700
7787-60-2	Bismuth trichloride	BiCl3	23600
7787-61-3	Bismuth trifluoride	BiF3	21600
7787-64-6	Bismuth triiodide	BiI3	39100
7787-70-4	Copper(I) bromide	BrCu	5100
7788-97-8	Chromium(III) fluoride	CrF3	66000
7789-00-6	Potassium chromate	CrK2O4	33000
7789-17-5	Cesium iodide	CsI	25700
7789-18-6	Cesium nitrate	CsNO3	13800
7789-19-7	Copper(II) fluoride	CuF2	55000
7789-23-3	Potassium fluoride	FK	27200
7789-24-4	Lithium fluoride	FLi	27090
7789-27-7	Thallium(I) fluoride	FTl	13870
7789-28-8	Iron(II) fluoride	F2Fe	50000
7789-29-9	Potassium hydrogen fluoride	F2HK	6620
7789-30-2	Bromine pentafluoride	BrF5	5670
7789-38-0	Sodium bromate	BrNaO3	28110
7789-39-1	Rubidium bromide	BrRb	23300
7789-40-4	Thallium(I) bromide	BrTl	16400
7789-41-5	Calcium bromide	Br2Ca	29100
7789-42-6	Cadmium bromide	Br2Cd	33350
7789-43-7	Cobalt(II) bromide	Br2Co	43000
7789-46-0	Iron(II) bromide	Br2Fe	43000
7789-47-1	Mercury(II) bromide	Br2Hg	17900
7789-48-2	Magnesium bromide	Br2Mg	39300
7789-61-9	Antimony(III) bromide	Br3Sb	14600
7789-67-5	Tin(IV) bromide	Br4Sn	12200
7789-68-6	Titanium(IV) bromide	Br4Ti	12900
7789-75-5	Calcium fluoride	CaF2	30000
7789-78-8	Calcium hydride	CaH2	6700
7790-29-6	Rubidium iodide	IRb	22100
7790-30-9	Thallium(I) iodide	ITl	14700
7790-33-2	Manganese(II) iodide	I2Mn	41800
7790-44-5	Antimony(III) iodide	I3Sb	22800
7790-47-8	Tin(IV) iodide	I4Sn	160
7790-49-0	Thorium(IV) iodide	I4Th	48100
7790-69-4	Lithium nitrate	LiNO3	26700
7790-79-6	Cadmium fluoride	CdF2	22600
7790-80-9	Cadmium iodide	CdI2	15300
7790-86-5	Cerium(III) chloride	CeCl3	53100
7790-87-6	Cerium(III) iodide	CeI3	51000
7790-99-0	Iodine chloride	ClI	11600
7791-03-9	Lithium perchlorate	ClLiO4	29300
7791-11-9	Rubidium chloride	ClRb	24400
7791-12-0	Thallium(I) chloride	ClTl	15560
7791-26-6	Uranyl chloride	Cl2O2U	44060
78-75-1	1,2-Dibromopropane	C3H6Br2	8940
78-78-4	Isopentane	C5H12	5150
78-79-5	2-Methyl-1,3-butadiene	C5H8	4930
78-83-1	2-Methyl-1-propanol	C4H10O	6320
78-92-2	2-Butanol	C4H10O	5970
78-93-3	2-Butanone	C4H8O	8390
79-00-5	1,1,2-Trichloroethane	C2H3Cl3	11460
79-01-6	Trichloroethene	C2HCl3	8450
79-09-4	Propanoic acid	C3H6O2	10660
79-10-7	Acrylic acid	C3H4O2	9510
79-11-8	Chloroacetic acid	C2H3ClO2	12280
79-20-9	Methyl acetate	C3H6O2	7490
79-24-3	Nitroethane	C2H5NO2	9850
79-29-8	2,3-Dimethylbutane	C6H14	790
79-34-5	1,1,2,2-Tetrachloroethane	C2H2Cl4	9170
79-38-9	Chlorotrifluoroethene	C2ClF3	5550
80-35-3	Sulfamethoxypyridazine	C11H12N4O3S	31300
80-62-6	Methyl methacrylate	C5H8O2	14400
82-02-0	Khellin	C14H12O5	32300
827-52-1	Cyclohexylbenzene	C12H16	15600
83-07-8	Ampyrone	C11H13N3O	24900
83-32-9	Acenaphthene	C12H10	21490
84-15-1	o-Terphenyl	C18H14	17190
85-01-8	Phenanthrene	C14H10	16460
86-73-7	9H-Fluorene	C13H10	19580
86-74-8	Carbazole	C12H9N	24100
87-61-6	1,2,3-Trichlorobenzene	C6H3Cl3	17900
87-85-4	Hexamethylbenzene	C12H18	20600
872-05-9	1-Decene	C10H20	13810
88-73-3	1-Chloro-2-nitrobenzene	C6H4ClNO2	17900
88-74-4	2-Nitroaniline	C6H6N2O2	16100
88-75-5	2-Nitrophenol	C6H5NO3	17700
89-83-8	Thymol	C10H14O	21300
90-11-9	1-Bromonaphthalene	C10H7Br	15200
90-12-0	1-Methylnaphthalene	C11H10	6950
90-13-1	1-Chloronaphthalene	C10H7Cl	12900
90-15-3	1-Naphthol	C10H8O	23100
91-20-3	Naphthalene	C10H8	19010
91-22-5	Quinoline	C9H7N	10660
91-57-6	2-Methylnaphthalene	C11H10	12130
91-58-7	2-Chloronaphthalene	C10H7Cl	14000
92-52-4	Biphenyl	C12H10	18570
92-87-5	p-Benzidine	C12H12N2	19100
92-94-4	p-Terphenyl	C18H14	35300
92141-86-1	Cesium metaborate	BCsO2	27000
93-58-3	Methyl benzoate	C8H8O2	9740
94-09-7	Ethyl 4-aminobenzoate	C9H11NO2	22300
95-13-6	Indene	C9H8	10200
95-47-6	o-Xylene	C8H10	13600
95-48-7	o-Cresol	C7H8O	15820
95-49-8	2-Chlorotoluene	C7H7Cl	9600
95-50-1	o-Dichlorobenzene	C6H4Cl2	12400
95-51-2	2-Chloroaniline	C6H6ClN	11900
95-53-4	2-Methylaniline	C7H9N	11660
95-54-5	1,2-Benzenediamine	C6H8N2	23100
95-57-8	2-Chlorophenol	C6H5ClO	13000
95-63-6	1,2,4-Trimethylbenzene	C9H12	13190
95-65-8	3,4-Xylenol	C8H10O	18100
95-87-4	2,5-Xylenol	C8H10O	23400
95-93-2	1,2,4,5-Tetramethylbenzene	C10H14	21000
96-14-0	3-Methylpentane	C6H14	5300
96-22-0	3-Pentanone	C5H10O	11590
96-31-1	N,N'-Dimethylurea	C3H8N2O	13000
96-37-7	Methylcyclopentane	C6H12	6930
96-41-3	Cyclopentanol	C5H10O	1535
96-48-0	γ-Butyrolactone	C4H6O2	9570
98-00-0	Furfuryl alcohol	C5H6O2	13130
98-01-1	Furfural	C5H4O2	14370
98-82-8	Isopropylbenzene	C9H12	7330
98-88-4	Benzoyl chloride	C7H5ClO	19200
98-92-0	3-Pyridinecarboxamide	C6H6N2O	23200
98-95-3	Nitrobenzene	C6H5NO2	12120
99-04-7	m-Toluic acid	C8H8O2	15700
99-09-2	3-Nitroaniline	C6H6N2O2	23600
99-35-4	1,3,5-Trinitrobenzene	C6H3N3O6	15400
99-87-6	1-Isopropyl-4-methylbenzene	C10H14	9660
99-94-5	p-Toluic acid	C8H8O2	22700
99-99-0	4-Nitrotoluene	C7H7NO2	16810
992-98-3	Thallium(I) formate	CHO2Tl	10900
